array_id,biosampleaccn,contig_id,arraystart,arrayend,arraylen,avgrepeatlen,avgspacerlen,number_of_spacers,spacer_len_var,dist_to_cas13b,orientation,category,score,filter,date,organism,speciesname
9441b183-a692-4e06-a160-81fd93bf9b67,SAMEA104307710,NZ_UYIV01000001.1,2100506,2101607,1102,47,40,12,37.8164,536053,Reverse,Possible,0.6643,FAILED,09-07-2025-14-14-36,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
b3c09bcb-7c8c-4d2e-848d-428bf6881d92,SAMEA104307710,NZ_UYIV01000001.1,2069351,2069517,167,41,22,2,0.0000,504898,Reverse,Possible,0.6461,FAILED,09-07-2025-14-14-36,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
5f0ecfaf-8245-45b4-b9a7-cdfb80a495df,SAMEA104307710,NZ_UYIV01000001.1,1992448,1994725,2278,47,29,29,0.2579,427995,Reverse,Possible,0.6776,FAILED,09-07-2025-14-14-36,Bergeyella zoohelcum (CFB group bacteria),Bergeyella zoohelcum
44c48aa5-dfc4-4cdf-bacc-c381da2b2d71,SAMEA104200672,NZ_LR215974.1,1121912,1122417,506,37,30,7,0.0000,116,Reverse,Possible,0.5617,PASSED,09-07-2025-14-11-46,Chryseobacterium taihuense (CFB group bacteria),Chryseobacterium taihuense
00832fd1-4e22-47e4-8dd9-d7d1863ab07a,SAMEA104200672,NZ_LR215974.1,507045,509247,2203,47,30,28,0.0000,613286,Reverse,Possible,0.6637,FAILED,09-07-2025-14-11-46,Chryseobacterium taihuense (CFB group bacteria),Chryseobacterium taihuense
32209440-7f77-4888-98b0-5b2872249d98,SAMN06754876,NZ_CP022378.1,2482495,2484390,1896,47,30,24,0.2041,287552,Reverse,Possible,0.6776,FAILED,09-07-2025-14-11-42,Capnocytophaga cynodegmi (CFB group bacteria),Capnocytophaga cynodegmi
41b09853-fb0b-4eed-9ab0-c08451238021,SAMN06754876,NZ_CP022378.1,2195002,2195749,748,36,43,9,38.9597,59,Foward,Possible,0.6469,FAILED,09-07-2025-14-11-42,Capnocytophaga cynodegmi (CFB group bacteria),Capnocytophaga cynodegmi
66521742-da5d-4a16-8b60-ed68a7b7ca69,SAMN06289146,NZ_CP022387.1,2673212,2677800,4589,47,30,59,0.0000,2133216,Reverse,Possible,0.6637,FAILED,09-07-2025-14-11-44,Capnocytophaga stomatis (CFB group bacteria),Capnocytophaga stomatis
33c30eb7-fd97-45d4-85df-fd7fae9451af,SAMN06289146,NZ_CP022387.1,533233,536263,3031,36,38,40,31.6626,59,Reverse,Possible,0.6750,FAILED,09-07-2025-14-11-44,Capnocytophaga stomatis (CFB group bacteria),Capnocytophaga stomatis
fd1c282a-ceb4-4823-b969-a388829db374,SAMN05000968,NZ_CP016277.1,1819852,1820806,955,36,29,14,0.4972,137,Reverse,Possible,0.6776,PASSED,09-07-2025-14-11-49,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
81dc4b76-a9b2-48a6-b08e-fff5721dece3,SAMN06184581,NZ_CP018912.1,2900948,2901902,955,36,29,14,0.4972,137,Foward,Possible,0.7209,PASSED,09-07-2025-14-11-51,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
9c345e76-ded5-44bc-9ca1-644b04ec3b0d,SAMN06184581,NZ_CP018912.1,2342108,2343985,1878,36,29,28,0.4987,553182,Foward,Possible,0.6676,FAILED,09-07-2025-14-11-51,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
8028a8ca-23fc-453e-8d07-6f6f5d03ae84,SAMN13705423,NZ_CP051861.1,2973273,2975660,2388,36,31,35,8.1522,562848,Reverse,Possible,0.5914,FAILED,09-07-2025-14-11-53,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
0541e37c-3987-469d-bfb0-1b2afeebd22d,SAMN13705423,NZ_CP051861.1,2405713,2406668,956,36,29,14,0.4688,137,Reverse,Possible,0.6484,PASSED,09-07-2025-14-11-53,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
f38a7c16-7335-4420-bbe8-0a21ac85466d,SAMN47059527,NZ_CP185773.1,3180966,3182842,1877,36,29,28,0.4410,137,Foward,Possible,0.6917,PASSED,09-07-2025-14-11-55,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
d411b780-9220-43ba-8208-e1edb88d4933,SAMN47059527,NZ_CP185773.1,2588199,2589572,1374,36,30,20,4.9831,587718,Foward,Possible,0.6123,FAILED,09-07-2025-14-11-55,Flavobacterium columnare (CFB group bacteria),Flavobacterium columnare
45804759-36c6-4f11-ad58-690f221d8ca9,SAMN04386100,NZ_CP013992.1,758541,758905,365,36,29,5,0.8367,137,Reverse,Possible,0.6776,PASSED,09-07-2025-14-11-58,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
dd34bfe7-a90b-4786-ae46-c60b66b939af,SAMN04386100,NZ_CP013992.1,320994,323320,2327,36,31,34,8.9574,435722,Foward,Possible,0.6053,FAILED,09-07-2025-14-11-58,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
e6fae951-3b2b-48cc-9c70-abdd533ddc65,SAMN04487986,NZ_CP015107.1,3130438,3130890,453,28,57,5,43.3797,145,Reverse,Possible,0.5794,FAILED,09-07-2025-14-12-00,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
ed3d9f14-9654-429d-91d4-55ffc4676f9e,SAMN04487986,NZ_CP015107.1,944817,946354,1538,36,32,22,11.5486,2180298,Reverse,Possible,0.5942,FAILED,09-07-2025-14-12-00,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
e809943c-1bd0-4ddc-a5e4-5ecba325f207,SAMN28596590,NZ_CP097867.1,2555415,2556234,820,37,74,7,78.7098,137,Reverse,Possible,0.5535,FAILED,09-07-2025-14-12-02,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
3c4e0d60-d6ae-4154-9638-cb2e060a49f5,SAMN28596590,NZ_CP097867.1,988354,989174,821,36,29,12,1.1677,1567197,Reverse,Possible,0.5772,FAILED,09-07-2025-14-12-02,Flavobacterium covae (CFB group bacteria),Flavobacterium covae
d4ef3b7e-14f2-4b5a-9020-7ce24a6413af,SAMN25131779,NZ_CP091285.1,4172682,4175127,2446,36,27,38,1.1750,348420,Foward,Possible,0.6607,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
27b46a6c-fa1b-4bce-a004-1fe1e3973640,SAMN25131779,NZ_CP091285.1,3820339,3820571,233,35,31,3,0.0000,107,Reverse,Possible,0.6637,PASSED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
6829e4c2-382b-43fa-9f5a-84756f1edf50,SAMN25131779,NZ_CP091285.1,2330003,2330244,242,32,20,4,21.0000,1490434,Reverse,Possible,0.5344,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
22804644-1910-4866-a132-3d7b4852e2b2,SAMN25131779,NZ_CP091285.1,786491,788353,1863,46,29,24,0.4643,3032325,Foward,Possible,0.6838,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
d4ef3b7e-14f2-4b5a-9020-7ce24a6413af,SAMN25131779,NZ_CP091285.1,4172682,4175127,2446,36,27,38,1.1750,348420,Foward,Possible,0.6607,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
27b46a6c-fa1b-4bce-a004-1fe1e3973640,SAMN25131779,NZ_CP091285.1,3820339,3820571,233,35,31,3,0.0000,107,Reverse,Possible,0.6637,PASSED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
6829e4c2-382b-43fa-9f5a-84756f1edf50,SAMN25131779,NZ_CP091285.1,2330003,2330244,242,32,20,4,21.0000,1490434,Reverse,Possible,0.5344,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
22804644-1910-4866-a132-3d7b4852e2b2,SAMN25131779,NZ_CP091285.1,786491,788353,1863,46,29,24,0.4643,3032325,Foward,Possible,0.6838,FAILED,09-07-2025-14-12-09,Flavobacterium jumunjinense (CFB group bacteria),Flavobacterium jumunjinense
a2e45554-7938-4c84-8f32-3911a240a9b7,SAMN04270979,NZ_CP013690.1,4175953,4176591,639,36,31,9,0.0000,117,Foward,Possible,0.5668,PASSED,09-07-2025-14-12-17,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
c4ea97ef-c28c-46f5-a60e-3eaa8aa1b2a9,SAMD00078003,NZ_AP018042.1,4512451,4512622,172,32,38,2,48.0833,655761,Reverse,Possible,0.6264,FAILED,09-07-2025-14-12-13,Labilibaculum antarcticum (CFB group bacteria),Labilibaculum antarcticum
0ecfe3a1-2bab-4247-9a32-e1220e1fcbec,SAMN04270979,NZ_CP013690.1,4164876,4165099,224,43,47,2,4.9497,7258,Reverse,Possible,0.5313,FAILED,09-07-2025-14-12-17,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
94520140-0ee1-47ce-89ef-3d7921abf2c0,SAMN04270979,NZ_CP013690.1,3847596,3848744,1149,30,36,17,0.7906,323613,Foward,Possible,0.6055,FAILED,09-07-2025-14-12-17,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
39d87702-4c1c-47e7-827b-c2f9ae36a423,SAMN04270979,NZ_CP013690.1,3841825,3846203,4379,30,35,66,1.0096,326154,Foward,Possible,0.6619,FAILED,09-07-2025-14-12-17,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
4015dd49-992e-40db-83b7-a6a56411773c,SAMN11047481,NZ_CP037427.1,3669599,3671538,1940,22,44,29,0.8892,336799,Reverse,Possible,0.5279,FAILED,09-07-2025-14-12-20,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
c10f6484-847b-45a8-90aa-081bdcf1cd09,SAMN11047481,NZ_CP037427.1,3555420,3555656,237,33,35,3,36.2261,222620,Foward,Possible,0.5068,FAILED,09-07-2025-14-12-20,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
aabe0364-08c0-4e0a-b33e-09f2136de991,SAMN11047481,NZ_CP037427.1,3328095,3329203,1109,37,30,16,0.0000,118,Reverse,Possible,0.6484,PASSED,09-07-2025-14-12-20,Myroides odoratimimus (CFB group bacteria),Myroides odoratimimus
7d6f2763-4ed5-43f3-a500-baf67b575d34,SAMN25263445,NZ_CP091791.1,2421554,2422280,727,24,46,10,1.5670,340,Reverse,Possible,0.5398,FAILED,09-07-2025-14-13-58,Prevotella communis (CFB group bacteria),Prevotella communis
44bdfd62-af31-4832-abe1-6c68749930f2,SAMN02603919,NC_018721.1,4004754,4005207,454,49,33,5,23.4414,1391414,Foward,Possible,0.5161,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
916c624a-4005-47ee-a3e7-8ff1fa14b8e0,SAMN02603919,NC_018721.1,3523856,3525268,1413,45,60,13,39.4915,910516,Foward,Possible,0.5511,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
02be6169-776e-4797-ba11-39b23470aae5,SAMN02603919,NC_018721.1,2613484,2614177,694,34,32,10,71.3677,144,Foward,Possible,0.6205,PASSED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
b30756bd-25ee-4045-8c49-afb664bc06f5,SAMN02603919,NC_018721.1,2608898,2609328,431,36,29,6,0.0000,575,Foward,Possible,0.6655,PASSED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
77d514dd-ca95-4efe-bd4b-195e2b34689c,SAMN02603919,NC_018721.1,1782769,1782932,164,25,44,2,0.0000,826971,Reverse,Possible,0.6227,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
9fab5ec2-3702-4eca-8020-37af122a4f51,SAMN02603919,NC_018721.1,347487,348171,685,45,36,8,37.6751,2261732,Reverse,Possible,0.5089,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
e73dfd3b-586a-4acd-9006-66fb48dfe2f6,SAMN02603919,NC_018721.1,320383,322409,2027,46,33,25,17.2464,2287494,Reverse,Possible,0.6415,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
ae71b567-95ca-4390-8fb8-fe4165472c5a,SAMN02603919,NC_018721.1,282483,283247,765,40,64,7,90.3741,2326656,Foward,Possible,0.5428,FAILED,09-07-2025-14-12-25,Psychroflexus torquis ATCC 700755 (CFB group bacteria),Psychroflexus torquis
5343da54-e709-4650-af68-c354b44ad166,SAMN09907746,NZ_CP031845.1,1740682,1741883,1202,47,30,15,0.0000,1316057,Foward,Possible,0.5668,FAILED,09-07-2025-14-12-43,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
c6dbe193-2b2f-4158-9f5f-09b91c3f56a4,SAMN09907746,NZ_CP031845.1,418435,420666,2232,36,147,12,405.2999,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-43,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
ed21a796-2545-49d2-a0b2-367cba385d52,SAMN19113859,NZ_CP079205.1,1685202,1687301,2100,36,170,10,443.9838,672,Reverse,Possible,0.5080,FAILED,09-07-2025-14-12-44,Riemerella anatipestifer RA-YM (CFB group bacteria),Riemerella anatipestifer
1879182c-99ea-48b5-aa82-80663d1aa2f2,SAMN19113859,NZ_CP079205.1,846904,847874,971,47,30,12,0.0000,840099,Foward,Possible,0.5778,FAILED,09-07-2025-14-12-44,Riemerella anatipestifer RA-YM (CFB group bacteria),Riemerella anatipestifer
414a56f7-cd85-4334-8385-d772ac8e8f33,SAMN03761967,NZ_CP011859.1,681313,681821,509,47,30,6,0.0000,818136,Foward,Possible,0.6681,FAILED,09-07-2025-14-12-47,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
4185f787-aafe-45e6-adda-76f493e15cbf,SAMEA4063029,NZ_LT906475.1,1696051,1698415,2365,36,130,14,375.2143,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-49,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
6a30fba3-6abc-41ce-b6ad-2654b7c17407,SAMEA4063029,NZ_LT906475.1,861227,862196,970,47,30,12,0.0000,836891,Foward,Possible,0.5668,FAILED,09-07-2025-14-12-49,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
fa6632c7-ea96-471e-846a-2497ffcb131f,SAMN13111529,NZ_CP045564.1,1693207,1695571,2365,36,130,14,375.2143,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-58,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
c195cadc-505e-4981-bbb8-87dfcd437aae,SAMN13111529,NZ_CP045564.1,857414,858384,971,47,30,12,0.0000,837859,Foward,Possible,0.5778,FAILED,09-07-2025-14-12-58,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
96f68c4f-fa9a-4efe-afb7-059185385a70,SAMN41998628,NZ_CP159333.1,1684162,1686460,2299,36,138,13,389.3765,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-30,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
4a838396-84b5-44a3-a22e-40692d8e38a7,SAMN41998628,NZ_CP159333.1,848800,849539,740,47,30,9,0.0000,837593,Foward,Possible,0.5778,FAILED,09-07-2025-14-12-30,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
e7ccfdc9-f427-4cfe-9f7e-c241060be07b,SAMN43911957,NZ_CP170447.1,974192,978548,4357,47,29,56,0.1336,845283,Foward,Possible,0.7410,FAILED,09-07-2025-14-12-32,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
ff191863-b4b5-422e-9a35-0938b2d9e08a,SAMN40623457,NZ_CP160446.1,1701133,1703430,2298,36,138,13,389.3995,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-33,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
6015a7dd-8ebc-4c1a-b568-e684c0003bb5,SAMN40623457,NZ_CP160446.1,860817,862172,1356,47,30,17,0.0000,841930,Foward,Possible,0.5981,FAILED,09-07-2025-14-12-33,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
30865cc6-70c5-401b-8978-51a7d3d4c517,SAMN45156075,NZ_CP175928.1,1687955,1690186,2232,36,147,12,405.2999,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-35,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
5f1a0bc2-7095-4971-9a55-63019a6317b0,SAMN45156075,NZ_CP175928.1,848369,849801,1433,47,30,18,0.0000,841057,Foward,Possible,0.5981,FAILED,09-07-2025-14-12-35,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
437fcb6a-4467-4b00-a996-c6ac18c8868d,SAMN45156076,NZ_CP175957.1,1790907,1793554,2648,36,94,20,288.9000,674,Reverse,Possible,0.5823,FAILED,09-07-2025-14-12-37,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
7c42f8eb-c0dc-4b73-8e66-7e9d730b84e5,SAMN45156076,NZ_CP175957.1,957819,960097,2279,47,30,29,0.0000,834131,Foward,Possible,0.6917,FAILED,09-07-2025-14-12-37,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
f9961526-c7c4-49b6-8b91-87899f5b8e10,SAMN45934160,NZ_CP176754.1,1696436,1698667,2232,36,147,12,405.2999,672,Reverse,Possible,0.5078,FAILED,09-07-2025-14-12-38,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
57f8bf60-ad10-4162-9e27-7f1b11910bdf,SAMN45934160,NZ_CP176754.1,850622,852517,1896,47,30,24,0.2041,846822,Foward,Possible,0.5981,FAILED,09-07-2025-14-12-38,Riemerella anatipestifer (CFB group bacteria),Riemerella anatipestifer
e509bb0a-a958-4bc0-8c57-e1e36d7ee659,SAMN07840095,NZ_CP024596.1,1812078,1815771,3694,46,30,48,0.2917,1234393,Foward,Possible,0.6637,FAILED,09-07-2025-14-13-00,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
9cf1caf0-a5ff-410c-bce7-636573e61184,SAMN07840095,NZ_CP024596.1,939749,941026,1278,30,35,19,1.0569,362064,Foward,Possible,0.6157,FAILED,09-07-2025-14-13-00,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
59da1dce-8e92-4d6e-84ca-a953e6cb4d60,SAMN07840095,NZ_CP024596.1,572739,573569,831,37,29,12,0.2887,757,Reverse,Alternative,0.7245,PASSED,09-07-2025-14-13-00,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
913625d9-995a-493d-8d74-ab1e9f20968b,SAMN07840095,NZ_CP024596.1,572739,573568,830,36,30,12,0.3892,758,Reverse,Bona-fide,0.7571,PASSED,09-07-2025-14-13-00,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
b1b3855d-16ec-4a91-91ab-ac6fa40ae57c,SAMN07836928,NZ_CP024601.1,2219867,2221809,1943,46,29,25,0.3317,1058541,Reverse,Possible,0.6198,FAILED,09-07-2025-14-13-02,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
dc36de83-41bf-489a-b2dc-a932170f3f06,SAMN07836928,NZ_CP024601.1,1156475,1157040,566,37,28,8,0.3536,759,Reverse,Alternative,0.7080,PASSED,09-07-2025-14-13-02,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
319adc09-d80b-4a7b-81e0-10bddab4ac6a,SAMN07836928,NZ_CP024601.1,1156477,1157040,564,36,30,8,0.0000,759,Reverse,Bona-fide,0.7571,PASSED,09-07-2025-14-13-02,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
cc38743d-a679-43c9-a2e1-a7705f944c6b,SAMN07840081,NZ_CP024600.1,714951,715316,366,36,30,5,0.0000,759,Foward,Possible,0.6760,PASSED,09-07-2025-14-13-05,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
77242881-7478-4493-ae6b-8925b48e7ce6,SAMN07840081,NZ_CP024600.1,322213,323296,1084,30,35,16,1.0247,387369,Foward,Possible,0.6449,FAILED,09-07-2025-14-13-05,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
e7142057-b18d-4370-aa3b-7c7d30f8d10c,SAMN07840090,NZ_CP024591.1,1826715,1827147,433,37,29,6,0.0000,760,Foward,Possible,0.6891,PASSED,09-07-2025-14-13-10,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
22ac33fa-ca7e-4455-a91d-e5419357c075,SAMN07840090,NZ_CP024591.1,1584254,1584945,692,30,36,10,0.7888,237651,Reverse,Possible,0.6185,FAILED,09-07-2025-14-13-10,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
180020f5-0bd5-45e8-978c-f7e52c150480,SAMN07840090,NZ_CP024591.1,1479962,1480662,701,37,36,9,2.4381,341934,Foward,Possible,0.6379,FAILED,09-07-2025-14-13-10,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
cd777bc1-b5eb-425e-9032-279770fe8fba,SAMN07840090,NZ_CP024591.1,209107,209472,366,36,30,5,0.0000,1613124,Reverse,Possible,0.7017,FAILED,09-07-2025-14-13-10,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
73ead78a-622a-4e6f-be32-808294eee563,SAMN07840091,NZ_CP024592.1,1749813,1750770,958,46,30,12,0.0000,1296819,Foward,Possible,0.6637,FAILED,09-07-2025-14-13-12,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
9a59d1ae-1a91-48fd-b4b7-723725ce5dd6,SAMN07840091,NZ_CP024592.1,453754,454185,432,36,30,6,0.0000,760,Foward,Possible,0.7217,PASSED,09-07-2025-14-13-12,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
951a708f-656a-448d-9b4f-83d388bd5d7f,SAMN07840091,NZ_CP024592.1,151005,151552,548,37,36,7,1.9149,297916,Reverse,Possible,0.6253,FAILED,09-07-2025-14-13-12,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
1b617c44-a9bc-4a58-9d92-859ac9fef6a0,SAMN07840091,NZ_CP024592.1,118104,118994,891,30,36,13,1.4806,330474,Reverse,Possible,0.6232,FAILED,09-07-2025-14-13-12,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
15722d7f-5387-4780-ac08-414406db5c05,SAMN07840092,NZ_CP024593.1,1081972,1091801,9830,30,35,149,1.8650,337793,Foward,Possible,0.6449,FAILED,09-07-2025-14-13-14,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
cf47bf61-bf5e-4870-8c55-0763214cf417,SAMN07840092,NZ_CP024593.1,1048083,1048420,338,37,38,4,3.5940,303904,Foward,Possible,0.5806,FAILED,09-07-2025-14-13-14,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
9c0e2cb3-8977-4667-9158-13dca78bcd9b,SAMN07840092,NZ_CP024593.1,739528,739893,366,36,30,5,0.0000,759,Reverse,Possible,0.7114,PASSED,09-07-2025-14-13-14,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
6fc9587f-2b24-4ec5-a583-71c915efe77a,SAMN07840094,NZ_CP024594.1,2415060,2415471,412,37,38,5,3.1623,272194,Reverse,Possible,0.5867,FAILED,09-07-2025-14-13-16,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
d20a40a9-3559-400a-bfa5-a6ee744e0d42,SAMN07840094,NZ_CP024594.1,2372740,2381519,8780,30,35,133,1.9724,229874,Reverse,Possible,0.6303,FAILED,09-07-2025-14-13-16,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
a16f006c-bea0-4e5e-9d3f-eb84ffa8ab84,SAMN07840094,NZ_CP024594.1,2138347,2138581,235,37,29,3,0.0000,758,Reverse,Possible,0.6309,PASSED,09-07-2025-14-13-16,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
89fb59ca-1edc-43b0-92eb-4b29cb610b1f,SAMN07840094,NZ_CP024594.1,33687,33936,250,52,47,2,46.6690,2105403,Foward,Possible,0.5589,FAILED,09-07-2025-14-13-16,Porphyromonas gingivalis (CFB group bacteria),Porphyromonas gingivalis
