"run_accession","biosample","bioproject","organism","taxid","instrument_model","platform","title"
"SRR5323238","SAMN06451223","PRJNA348753","Bacteroidales bacterium UBA6254",1950674,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6254"
"SRR5323263","SAMN06455455","PRJNA348753","Bacteroidales bacterium UBA6207",1950670,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6207"
"SRR5323274","SAMN06455702","PRJNA348753","Bacteroidales bacterium UBA6267",1950675,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6267"
"SRR5323316","SAMN06452573","PRJNA348753","Bacteroidales bacterium UBA2183",1950437,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2183"
"SRR5323368","SAMN06452560","PRJNA348753","Bacteroidales bacterium UBA2454",1950445,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2454"
"SRR5323380","SAMN06454048","PRJNA348753","Bacteroidales bacterium UBA2748",1950454,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2748"
"SRR5323393","SAMN06454305","PRJNA348753","Bacteroidales bacterium UBA2764",1950456,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2764"
"SRR5323398","SAMN06453249","PRJNA348753","Bacteroidales bacterium UBA2759",1950455,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2759"
"SRR5323404","SAMN06451800","PRJNA348753","Bacteroidales bacterium UBA2714",1950449,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2714"
"SRR5323406","SAMN06451798","PRJNA348753","Bacteroidales bacterium UBA2716",1950450,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2716"
"SRR5323407","SAMN06451797","PRJNA348753","Bacteroidales bacterium UBA2717",1950451,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2717"
"SRR5323411","SAMN06457124","PRJNA348753","Bacteroidales bacterium UBA2721",1950452,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2721"
"SRR5323412","SAMN06457121","PRJNA348753","Bacteroidales bacterium UBA2722",1950453,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2722"
"SRR5323413","SAMN06451794","PRJNA348753","Bacteroidales bacterium UBA2712",1950448,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2712"
"SRR5323437","SAMN06453517","PRJNA348753","Bacteroidales bacterium UBA7755",1950753,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7755"
"SRR5323451","SAMN06453007","PRJNA348753","Bacteroidales bacterium UBA7769",1950754,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7769"
"SRR5323459","SAMN06453810","PRJNA348753","Bacteroidales bacterium UBA7776",1950756,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7776"
"SRR5323472","SAMN06457753","PRJNA348753","Bacteroidales bacterium UBA7789",1950757,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7789"
"SRR5323483","SAMN06456541","PRJNA348753","Bacteroidales bacterium UBA7731",1950751,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7731"
"SRR5323497","SAMN06454828","PRJNA348753","Bacteroidales bacterium UBA7258",1950728,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7258"
"SRR5323503","SAMN06454582","PRJNA348753","Bacteroidales bacterium UBA7284",1950731,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7284"
"SRR5323513","SAMN06451816","PRJNA348753","Bacteroidales bacterium UBA7293",1950732,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7293"
"SRR5323522","SAMN06455978","PRJNA348753","Bacteroidales bacterium UBA7268",1950729,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7268"
"SRR5323526","SAMN06450938","PRJNA348753","Bacteroidales bacterium UBA7271",1950730,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7271"
"SRR5323562","SAMN06455731","PRJNA348753","Bacteroidales bacterium UBA1064",1950370,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1064"
"SRR5323587","SAMN06453969","PRJNA348753","Bacteroidales bacterium UBA5822",1950654,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5822"
"SRR5323601","SAMN06453181","PRJNA348753","Bacteroidales bacterium UBA5839",1950656,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5839"
"SRR5323602","SAMN06453183","PRJNA348753","Bacteroidales bacterium UBA5833",1950655,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5833"
"SRR5323614","SAMN06451261","PRJNA348753","Bacteroidales bacterium UBA5843",1950657,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5843"
"SRR5323618","SAMN06452925","PRJNA348753","Bacteroidales bacterium UBA5854",1950658,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5854"
"SRR5323619","SAMN06450517","PRJNA348753","Bacteroidales bacterium UBA5855",1950659,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5855"
"SRR5323635","SAMN06450398","PRJNA348753","Bacteroidales bacterium UBA5548",1950648,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5548"
"SRR5323675","SAMN06454861","PRJNA348753","Bacteroidales bacterium UBA6983",1950720,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6983"
"SRR5323683","SAMN06457408","PRJNA348753","Bacteroidales bacterium UBA6990",1950721,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6990"
"SRR5323690","SAMN06457664","PRJNA348753","Bacteroidales bacterium UBA6978",1950719,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6978"
"SRR5323696","SAMN06452597","PRJNA348753","Bacteroidales bacterium UBA7009",1950723,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7009"
"SRR5323712","SAMN06452593","PRJNA348753","Bacteroidales bacterium UBA7005",1950722,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7005"
"SRR5323724","SAMN06452834","PRJNA348753","Bacteroidales bacterium UBA7021",1950724,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7021"
"SRR5323725","SAMN06452831","PRJNA348753","Bacteroidales bacterium UBA7022",1950725,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7022"
"SRR5323728","SAMN06452837","PRJNA348753","Bacteroidales bacterium UBA7024",1950726,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7024"
"SRR5323759","SAMN06455138","PRJNA348753","Bacteroidales bacterium UBA5536",1950645,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5536"
"SRR5323760","SAMN06455139","PRJNA348753","Bacteroidales bacterium UBA5537",1950646,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5537"
"SRR5323764","SAMN06450401","PRJNA348753","Bacteroidales bacterium UBA5541",1950647,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5541"
"SRR5323821","SAMN06454972","PRJNA348753","Bacteroidales bacterium UBA5072",1950602,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5072"
"SRR5323840","SAMN06452871","PRJNA348753","Bacteroidales bacterium UBA1680",1950417,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1680"
"SRR5323856","SAMN06456279","PRJNA348753","Bacteroidales bacterium UBA1711",1950418,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1711"
"SRR5323860","SAMN06452732","PRJNA348753","Bacteroidales bacterium UBA1745",1950427,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1745"
"SRR5323867","SAMN06453548","PRJNA348753","Bacteroidales bacterium UBA1751",1950428,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1751"
"SRR5323871","SAMN06453551","PRJNA348753","Bacteroidales bacterium UBA1754",1950429,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1754"
"SRR5323873","SAMN06453549","PRJNA348753","Bacteroidales bacterium UBA1756",1950430,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1756"
"SRR5323874","SAMN06453550","PRJNA348753","Bacteroidales bacterium UBA1757",1950431,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1757"
"SRR5323882","SAMN06456274","PRJNA348753","Bacteroidales bacterium UBA1714",1950419,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1714"
"SRR5323886","SAMN06456275","PRJNA348753","Bacteroidales bacterium UBA1715",1950420,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1715"
"SRR5323888","SAMN06452467","PRJNA348753","Bacteroidales bacterium UBA1769",1950432,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1769"
"SRR5323914","SAMN06452023","PRJNA348753","Bacteroidales bacterium UBA1722",1950421,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1722"
"SRR5323919","SAMN06452004","PRJNA348753","Bacteroidales bacterium UBA1725",1950423,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1725"
"SRR5323929","SAMN06456017","PRJNA348753","Bacteroidales bacterium UBA1733",1950424,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1733"
"SRR5323931","SAMN06456011","PRJNA348753","Bacteroidales bacterium UBA1735",1950425,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1735"
"SRR5323932","SAMN06452058","PRJNA348753","Bacteroidales bacterium UBA1736",1950426,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1736"
"SRR5323940","SAMN06455812","PRJNA348753","Bacteroidales bacterium UBA3289",1950477,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3289"
"SRR5323945","SAMN06450800","PRJNA348753","Bacteroidales bacterium UBA3290",1950478,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3290"
"SRR5323948","SAMN06450802","PRJNA348753","Bacteroidales bacterium UBA3292",1950479,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3292"
"SRR5323954","SAMN06450805","PRJNA348753","Bacteroidales bacterium UBA3297",1950480,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3297"
"SRR5323958","SAMN06452846","PRJNA348753","Bacteroidales bacterium UBA3300",1950481,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3300"
"SRR5324029","SAMN06452445","PRJNA348753","Bacteroidales bacterium UBA2267",1950442,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2267"
"SRR5324041","SAMN06452698","PRJNA348753","Bacteroidales bacterium UBA2249",1950439,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2249"
"SRR5324046","SAMN06453500","PRJNA348753","Bacteroidales bacterium UBA2254",1950440,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2254"
"SRR5324056","SAMN06452449","PRJNA348753","Bacteroidales bacterium UBA2263",1950441,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2263"
"SRR5322445","SAMN06456451","PRJNA348753","Bacteroidales bacterium UBA5621",1950649,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5621"
"SRR5322562","SAMN06451387","PRJNA348753","Bacteroidales bacterium UBA932",1950758,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA932"
"SRR5322611","SAMN06455663","PRJNA348753","Bacteroidales bacterium UBA4220",1950551,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4220"
"SRR5322618","SAMN06455944","PRJNA348753","Bacteroidales bacterium UBA4243",1950556,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4243"
"SRR5322628","SAMN06455668","PRJNA348753","Bacteroidales bacterium UBA4227",1950552,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4227"
"SRR5322631","SAMN06450918","PRJNA348753","Bacteroidales bacterium UBA4230",1950553,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4230"
"SRR5322632","SAMN06450919","PRJNA348753","Bacteroidales bacterium UBA4231",1950554,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4231"
"SRR5322637","SAMN06450912","PRJNA348753","Bacteroidales bacterium UBA4236",1950555,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4236"
"SRR5322656","SAMN06456459","PRJNA348753","Bacteroidales bacterium UBA4284",1950559,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4284"
"SRR5322659","SAMN06456456","PRJNA348753","Bacteroidales bacterium UBA4287",1950560,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4287"
"SRR5322665","SAMN06451183","PRJNA348753","Bacteroidales bacterium UBA4254",1950557,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4254"
"SRR5322683","SAMN06456228","PRJNA348753","Bacteroidales bacterium UBA4269",1950558,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4269"
"SRR5322684","SAMN06452663","PRJNA348753","Bacteroidales bacterium UBA4293",1950561,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4293"
"SRR5322694","SAMN06453095","PRJNA348753","Bacteroidales bacterium UBA4318",1950565,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4318"
"SRR5322702","SAMN06452654","PRJNA348753","Bacteroidales bacterium UBA4298",1950563,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4298"
"SRR5322703","SAMN06453631","PRJNA348753","Bacteroidales bacterium UBA4325",1950566,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4325"
"SRR5322711","SAMN06452657","PRJNA348753","Bacteroidales bacterium UBA4295",1950562,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4295"
"SRR5322714","SAMN06453875","PRJNA348753","Bacteroidales bacterium UBA4305",1950564,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4305"
"SRR5322721","SAMN06452803","PRJNA348753","Bacteroidales bacterium UBA4333",1950568,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4333"
"SRR5322725","SAMN06451607","PRJNA348753","Bacteroidales bacterium UBA4351",1950571,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4351"
"SRR5322728","SAMN06455780","PRJNA348753","Bacteroidales bacterium UBA4353",1950572,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4353"
"SRR5322735","SAMN06452805","PRJNA348753","Bacteroidales bacterium UBA4331",1950567,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4331"
"SRR5325244","SAMN06454255","PRJNA348753","Bacteroidales bacterium UBA4178",1950543,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4178"
"SRR5325245","SAMN06454254","PRJNA348753","Bacteroidales bacterium UBA4179",1950544,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4179"
"SRR5325247","SAMN06450893","PRJNA348753","Bacteroidales bacterium UBA4181",1950545,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4181"
"SRR5325249","SAMN06450891","PRJNA348753","Bacteroidales bacterium UBA4187",1950548,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4187"
"SRR5325250","SAMN06450896","PRJNA348753","Bacteroidales bacterium UBA4188",1950549,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4188"
"SRR5325252","SAMN06455649","PRJNA348753","Bacteroidales bacterium UBA4190",1950550,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4190"
"SRR5325254","SAMN06455306","PRJNA348753","Bacteroidales bacterium UBA3539",1950485,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA3539"
"SRR5325255","SAMN06451059","PRJNA348753","Bacteroidales bacterium UBA3540",1950486,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA3540"
"SRR5325257","SAMN06451061","PRJNA348753","Bacteroidales bacterium UBA3542",1950487,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA3542"
"SRR5325258","SAMN06451519","PRJNA348753","Bacteroidales bacterium UBA3543",1950488,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA3543"
"SRR5325306","SAMN06451951","PRJNA348753","Bacteroidales bacterium UBA2030",1950436,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2030"
"SRR5325330","SAMN06456924","PRJNA348753","Bacteroidales bacterium UBA4417",1950577,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4417"
"SRR5325340","SAMN06451454","PRJNA348753","Bacteroidales bacterium UBA5762",1950652,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5762"
"SRR5325352","SAMN06455697","PRJNA348753","Bacteroidales bacterium UBA5773",1950653,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5773"
"SRR5325360","SAMN06457059","PRJNA348753","Bacteroidales bacterium UBA5733",1950650,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5733"
"SRR5325364","SAMN06457063","PRJNA348753","Bacteroidales bacterium UBA5737",1950651,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5737"
"SRR5322418","SAMN06452283","PRJNA348753","Bacteroidales bacterium UBA4070",1950536,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4070"
"SRR5322421","SAMN06452286","PRJNA348753","Bacteroidales bacterium UBA4073",1950537,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4073"
"SRR5322742","SAMN06456580","PRJNA348753","Bacteroidales bacterium UBA4345",1950569,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4345"
"SRR5322745","SAMN06454394","PRJNA348753","Bacteroidales bacterium UBA4347",1950570,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4347"
"SRR5322749","SAMN06454123","PRJNA348753","Bacteroidales bacterium UBA4360",1950574,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4360"
"SRR5322758","SAMN06454126","PRJNA348753","Bacteroidales bacterium UBA4363",1950575,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4363"
"SRR5322765","SAMN06454122","PRJNA348753","Bacteroidales bacterium UBA4369",1950576,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4369"
"SRR5322767","SAMN06452919","PRJNA348753","Bacteroidales bacterium UBA4357",1950573,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4357"
"SRR5322786","SAMN06456306","PRJNA348753","Bacteroidales bacterium UBA3717",1950504,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3717"
"SRR5322804","SAMN06452516","PRJNA348753","Bacteroidales bacterium UBA3724",1950505,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3724"
"SRR5322805","SAMN06452515","PRJNA348753","Bacteroidales bacterium UBA3725",1950506,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3725"
"SRR5322807","SAMN06452517","PRJNA348753","Bacteroidales bacterium UBA3727",1950507,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3727"
"SRR5322809","SAMN06453763","PRJNA348753","Bacteroidales bacterium UBA3672",1950496,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3672"
"SRR5322810","SAMN06453446","PRJNA348753","Bacteroidales bacterium UBA3694",1950501,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3694"
"SRR5322813","SAMN06453448","PRJNA348753","Bacteroidales bacterium UBA3696",1950502,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3696"
"SRR5322829","SAMN06453756","PRJNA348753","Bacteroidales bacterium UBA3679",1950497,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3679"
"SRR5322832","SAMN06452958","PRJNA348753","Bacteroidales bacterium UBA3681",1950498,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3681"
"SRR5322833","SAMN06451282","PRJNA348753","Bacteroidales bacterium UBA3709",1950503,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3709"
"SRR5322837","SAMN06452961","PRJNA348753","Bacteroidales bacterium UBA3684",1950499,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3684"
"SRR5322841","SAMN06452963","PRJNA348753","Bacteroidales bacterium UBA3688",1950500,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3688"
"SRR5322858","SAMN06453984","PRJNA348753","Bacteroidales bacterium UBA3657",1950494,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3657"
"SRR5322860","SAMN06453980","PRJNA348753","Bacteroidales bacterium UBA3653",1950493,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3653"
"SRR5322865","SAMN06453201","PRJNA348753","Bacteroidales bacterium UBA3663",1950495,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3663"
"SRR5322870","SAMN06450771","PRJNA348753","Bacteroidales bacterium UBA3623",1950489,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3623"
"SRR5322876","SAMN06451443","PRJNA348753","Bacteroidales bacterium UBA3642",1950491,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3642"
"SRR5322891","SAMN06454234","PRJNA348753","Bacteroidales bacterium UBA3630",1950490,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3630"
"SRR5322901","SAMN06453978","PRJNA348753","Bacteroidales bacterium UBA3651",1950492,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3651"
"SRR5322905","SAMN06455286","PRJNA348753","Bacteroidales bacterium UBA3799",1950520,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3799"
"SRR5322912","SAMN06457852","PRJNA348753","Bacteroidales bacterium UBA3787",1950518,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3787"
