,sequence_id,spacer_host,phage_id,pidenty,algn_length,mismatch,phagestart,phageend,phage_len,evalue,bitscore,phage_cg,phage_taxonomy,phage_completeness,phage_host,phage_lifestyle,phage_source,spacerhost,pident,phagelength,phagecg,phagetaxonomy,completeness,phagehost,lifestyle,phagesource
10,d027431b-6693-4686-aacb-ef60403a57b9,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,29,0,16490,16518,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
11,d027431b-6693-4686-aacb-ef60403a57b9,,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,,29,0,30582,30554,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,42511.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
12,71666a59-9213-4a4c-b026-364aad09ebaf,,IMGVR_UViG_2639763162_000001|2639763162|2639848518|21614-75019,,29,0,37366,37338,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,53406.0,49.39145414372917,Caudoviricetes,High-quality,Porphyromonas gulae,temperate,IMG_VR
13,71666a59-9213-4a4c-b026-364aad09ebaf,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,29,0,32173,32145,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
14,71666a59-9213-4a4c-b026-364aad09ebaf,,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,,29,0,31069,31041,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43749.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
15,71666a59-9213-4a4c-b026-364aad09ebaf,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,29,0,16490,16518,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
16,71666a59-9213-4a4c-b026-364aad09ebaf,,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,,29,0,30582,30554,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,42511.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
17,9e8a899d-030d-448f-ac62-a341dc3e1366,,IMGVR_UViG_2639763162_000001|2639763162|2639848518|21614-75019,,29,0,37366,37338,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,53406.0,49.39145414372917,Caudoviricetes,High-quality,Porphyromonas gulae,temperate,IMG_VR
18,9e8a899d-030d-448f-ac62-a341dc3e1366,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,29,0,32173,32145,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
19,9e8a899d-030d-448f-ac62-a341dc3e1366,,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,,29,0,31069,31041,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,43749.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
20,9e8a899d-030d-448f-ac62-a341dc3e1366,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,29,0,16490,16518,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
21,9e8a899d-030d-448f-ac62-a341dc3e1366,,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,,29,0,30582,30554,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,42511.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
22,8a63a636-ac21-4e7b-92fd-e043f6638a85,,SAMEA2738073_b1_ct2_vs2,,30,0,16813,16784,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
23,e2609520-2a7b-4580-936b-6f8d7b5e872d,,SAMEA2738073_b1_ct2_vs2,,30,0,16813,16784,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
24,8c2b045b-f2d3-4140-b1bc-c2e30baeae97,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,30,1,23805,23834,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
25,5058f8d6-1d62-4af6-a748-8e524a0680b6,,TemPhD_cluster_59316,,30,0,2924,2895,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,47858.0,48.44122194826361,Caudovirales,High-quality,Porphyromonas gingivalis,temperate,TEMPHD
26,5058f8d6-1d62-4af6-a748-8e524a0680b6,,TemPhD_cluster_26955,,30,0,2919,2890,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,48785.0,48.87362918929999,Caudovirales,High-quality,Porphyromonas gulae,temperate,TEMPHD
27,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,30,0,23206,23177,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
28,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,30,0,25127,25156,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
29,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,,30,0,21599,21570,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,42511.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
30,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,IMGVR_UViG_2639763162_000001|2639763162|2639848518|21614-75019,,30,1,28578,28549,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,53406.0,49.39145414372917,Caudoviricetes,High-quality,Porphyromonas gulae,temperate,IMG_VR
31,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,,30,1,22709,22680,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,43617.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
32,f4e6f7af-b9f8-4d97-b97b-d40688e73ccb,,MGV-GENOME-0297903,,30,1,22709,22680,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,43617.0,50.37943920948255,Caudovirales,High-quality,Burkholderia pseudomallei,temperate,MGV
33,c98777c1-26d3-482c-a183-5f2d85ac845f,,TemPhD_cluster_59316,,30,0,16412,16383,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,47858.0,48.44122194826361,Caudovirales,High-quality,Porphyromonas gingivalis,temperate,TEMPHD
34,c813b8f2-2336-465a-b621-52dab0b5891b,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,28474,28445,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
35,c813b8f2-2336-465a-b621-52dab0b5891b,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,30,0,24018,23989,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
36,c813b8f2-2336-465a-b621-52dab0b5891b,,SAMEA2738073_b1_ct2_vs2,,30,0,317,346,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
37,1a389215-b0f4-45d5-9897-e1fc57be24cd,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,51618,51647,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
38,1a389215-b0f4-45d5-9897-e1fc57be24cd,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,30,0,46466,46495,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
39,3bc3a1bf-f025-4bc5-a723-5b4d5010139f,,MGV-GENOME-0272237,,30,0,25912,25941,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,35387.0,48.2013168677763,Caudovirales,Medium-quality,Ruminiclostridium siraeum,temperate,MGV
40,314b12ae-f7e5-45c6-b5f9-934c186205ea,,SAMEA2738073_b1_ct2_vs2,,29,0,18418,18390,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
41,314b12ae-f7e5-45c6-b5f9-934c186205ea,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,29,0,6222,6250,,1.15e-06,58.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
42,0188a804-ae2f-40fb-af97-a010572f5c64,,MGV-GENOME-0211214,,30,0,2636,2665,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
43,d97cf21b-8cd8-4698-bd8c-3f4f5bc7de74,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,30,0,6409,6438,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
44,d97cf21b-8cd8-4698-bd8c-3f4f5bc7de74,,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,,30,0,5032,5061,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,40356.0,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
45,6092fab9-d78f-497e-b6d6-8c6b6d31fe76,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,35292,35321,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
46,6092fab9-d78f-497e-b6d6-8c6b6d31fe76,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,30,0,30168,30197,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
47,44188ada-8e0f-4359-aef2-c86c034c1920,,SAMEA2738073_b1_ct2_vs2,,30,1,15957,15928,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
48,29f07819-0f35-4df7-93df-d2581fdb0428,,MGV-GENOME-0211214,,30,1,13760,13789,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
49,29b4d75e-eaa9-409c-89dd-a0d356b15885,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,53206,53235,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
50,564f2735-3b9a-475f-bebd-ae392bd1bd67,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,53206,53235,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
51,11390757-765c-4865-840f-dc8f9f152c3c,,MGV-GENOME-0211214,,30,1,10489,10518,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
52,4e0a8873-2460-4f22-a22f-864aebf3bbe5,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,30,0,7319,7290,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
53,4e0a8873-2460-4f22-a22f-864aebf3bbe5,,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,,30,0,6093,6064,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43749.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
54,4e0a8873-2460-4f22-a22f-864aebf3bbe5,,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,,29,1,6096,6068,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,40356.0,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
55,4e0a8873-2460-4f22-a22f-864aebf3bbe5,,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,,29,1,7040,7012,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
56,4e0a8873-2460-4f22-a22f-864aebf3bbe5,,MGV-GENOME-0297903,,29,1,7040,7012,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudovirales,High-quality,Burkholderia pseudomallei,temperate,MGV
57,e4c82690-8335-4928-9662-55bc9a3e357d,,MGV-GENOME-0211214,,30,1,10489,10518,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
58,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_2600255045_000002|2600255045|2600278965|1087-49872,,29,1,9111,9083,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,48786.0,49.91800926495306,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
59,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,,29,1,7577,7549,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,47811.0,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
60,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,29,1,40522,40550,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
61,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,,29,1,36806,36834,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,40356.0,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
62,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,,29,1,39045,39073,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,42511.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
63,b650297d-983c-432d-91f5-5b894d3f3177,,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,,29,1,39973,40001,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
64,b650297d-983c-432d-91f5-5b894d3f3177,,MGV-GENOME-0297903,,29,1,39973,40001,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudovirales,High-quality,Burkholderia pseudomallei,temperate,MGV
65,0b70ab0d-352a-4d75-b512-0c88dc7ca3a7,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,30,0,16847,16876,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
66,0b70ab0d-352a-4d75-b512-0c88dc7ca3a7,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,1,21303,21332,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
67,0b70ab0d-352a-4d75-b512-0c88dc7ca3a7,,SAMEA2738073_b1_ct2_vs2,,30,1,7485,7456,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,23250.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
68,0ca3e880-9598-4e50-a5e2-9e1e7f6329c5,,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,,30,0,7319,7290,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43987.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
69,0ca3e880-9598-4e50-a5e2-9e1e7f6329c5,,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,,30,0,6093,6064,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,43749.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
70,0ca3e880-9598-4e50-a5e2-9e1e7f6329c5,,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,,29,1,6096,6068,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,40356.0,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
71,0ca3e880-9598-4e50-a5e2-9e1e7f6329c5,,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,,29,1,7040,7012,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
72,0ca3e880-9598-4e50-a5e2-9e1e7f6329c5,,MGV-GENOME-0297903,,29,1,7040,7012,,0.000281,50.1,,,,,,,Porphyromonas gingivalis,96.552,43617.0,50.37943920948255,Caudovirales,High-quality,Burkholderia pseudomallei,temperate,MGV
73,ace52e3b-761b-4c08-ab09-8ff858288ef4,,MGV-GENOME-0211214,,30,0,11593,11622,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
74,ace52e3b-761b-4c08-ab09-8ff858288ef4,,MGV-GENOME-0272237,,30,0,1286,1315,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,35387.0,48.2013168677763,Caudovirales,Medium-quality,Ruminiclostridium siraeum,temperate,MGV
75,b1669c45-5f82-461c-afcd-6569503a42b1,,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,,30,0,7233,7262,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,51286.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
76,6fdfde12-36d6-45ac-87a3-f1834c2674c1,,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,,30,0,8759,8788,,2.92e-07,60.0,,,,,,,Porphyromonas gingivalis,100.0,57171.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
77,cd78e6b1-eb91-468d-b51d-6abf64a67525,,MGV-GENOME-0211214,,30,1,11178,11207,,7.11e-05,52.0,,,,,,,Porphyromonas gingivalis,96.667,29957.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
78,e6fa53c7-ae70-4835-8f0d-f91b2a9a82b0,,SAMEA2738166_b1_ct16_vs2,,30,0,6505,6476,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,57250.0,36.41222707423581,Siphoviridae,Complete,SR1,virulent,CHVD
79,fe4ac473-d4b5-42f2-b9c9-5a4844e3ad8d,,IMGVR_UViG_3300008136_000016|3300008136|Ga0113979_100153,,30,1,19486,19457,,7.11e-05,52.0,,,,,,,Prevotella intermedia,96.667,88132.0,31.452820768846728,Crassvirales,High-quality,Prevotella,virulent,IMG_VR
80,fe4ac473-d4b5-42f2-b9c9-5a4844e3ad8d,,IMGVR_UViG_3300007123_000001|3300007123|Ga0102684_100031,,30,1,4778,4749,,7.11e-05,52.0,,,,,,,Prevotella intermedia,96.667,88138.0,31.5369080305884,Crassvirales,Complete,Prevotella,virulent,IMG_VR
81,fe4ac473-d4b5-42f2-b9c9-5a4844e3ad8d,,IMGVR_UViG_3300006256_000001|3300006256|Ga0099352_1000048,,30,1,72680,72651,,7.11e-05,52.0,,,,,,,Prevotella intermedia,96.667,88096.0,31.514484199055577,Crassvirales,Complete,Prevotella,virulent,IMG_VR
82,7779d94b-f371-4173-a90b-4e0adc3748dc,,IMGVR_UViG_3300045988_063953|3300045988|Ga0495776_018376,,30,0,60097,60068,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,88215.0,31.16816867879612,Crassvirales,Complete,Prevotella,virulent,IMG_VR
83,7779d94b-f371-4173-a90b-4e0adc3748dc,,IMGVR_UViG_3300045988_062784|3300045988|Ga0495776_018944,,30,0,50002,49973,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,87799.0,31.309012631123363,Crassvirales,Complete,Prevotella,virulent,IMG_VR
84,7779d94b-f371-4173-a90b-4e0adc3748dc,,IMGVR_UViG_3300008136_000016|3300008136|Ga0113979_100153,,30,0,80149,80120,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,88132.0,31.452820768846728,Crassvirales,High-quality,Prevotella,virulent,IMG_VR
85,7779d94b-f371-4173-a90b-4e0adc3748dc,,MGV-GENOME-0358503,,30,0,60097,60068,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,88215.0,31.16816867879612,Retrovirales,Complete,Prevotella copri,virulent,MGV
86,7779d94b-f371-4173-a90b-4e0adc3748dc,,MGV-GENOME-0358279,,30,0,50002,49973,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,87799.0,31.309012631123363,Retrovirales,Complete,Prevotella copri,virulent,MGV
87,7779d94b-f371-4173-a90b-4e0adc3748dc,,SRS148408_a1_ct8244,,30,0,18369,18398,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,88018.0,31.38676179872299,CrAss-like,High-quality,Prevotella,virulent,CHVD
88,7779d94b-f371-4173-a90b-4e0adc3748dc,,SRS015038_a1_ct12896_vs1,,30,0,29236,29265,,2.92e-07,60.0,,,,,,,Prevotella intermedia,100.0,33494.0,28.87979936705081,CrAss-like,Low-quality,Prevotella,virulent,CHVD
89,7779d94b-f371-4173-a90b-4e0adc3748dc,,IMGVR_UViG_3300007123_000001|3300007123|Ga0102684_100031,,30,1,65499,65470,,7.11e-05,52.0,,,,,,,Prevotella intermedia,96.667,88138.0,31.5369080305884,Crassvirales,Complete,Prevotella,virulent,IMG_VR
90,7779d94b-f371-4173-a90b-4e0adc3748dc,,IMGVR_UViG_3300006256_000001|3300006256|Ga0099352_1000048,,30,1,45342,45313,,7.11e-05,52.0,,,,,,,Prevotella intermedia,96.667,88096.0,31.514484199055577,Crassvirales,Complete,Prevotella,virulent,IMG_VR
