operon_id,subtype,subtype_score,operon_length,n_crispr,n_spacers,n_tracr,n_cas,n_genes,evalue,gene_name
3300007206@33,VI,VI,4150,1,4,0,1,2,0.0,Cas13b
3300007297@135,VI,VI,4129,1,8,0,1,1,0.0,Cas13b
3300007314@38,VI,VI,4052,1,7,0,1,3,0.0,Cas13b
3300007527@64,VI,VI,4173,1,4,0,1,2,0.0,Cas13b
3300007646@305,VI,VI,4057,1,7,0,1,1,0.0,Cas13b
3300007740@5,VI,VI,4746,1,6,0,1,2,0.0,Cas13b
3300007746@94,VI,VI,4286,1,10,0,1,1,0.0,Cas13b
3300007976@277,VI,VI,4021,1,8,0,1,3,0.0,Cas13b
3300008094@105,VI,VI,3758,1,5,0,1,1,0.0,Cas13b
3300008096@146,VI,VI,6456,1,4,0,2,2,0.0,Cas13b
3300008138@75,VI,VI,5427,1,22,0,1,2,0.0,Cas13b
3300008142@142,VI,VI,4888,1,13,0,1,2,0.0,Cas13b
3300008150@339,VI,VI,4423,1,7,0,1,2,0.0,Cas13b
3300008150@431,VI,VI,4344,1,5,0,1,3,0.0,Cas13b
3300008275@201,VI,VI,4023,1,8,0,1,2,0.0,Cas13b
3300008412@184,VI,VI,4970,1,15,0,1,2,0.0,Cas13b
3300008480@185,VI,VI,4387,1,10,0,2,2,0.0,Cas13b
3300008481@163,VI,VI,4291,1,10,0,1,1,0.0,Cas13b
3300008492@5,VI,VI,4818,1,12,0,1,2,0.0,Cas13b
3300008494@1,VI,VI,4808,1,12,0,1,3,0.0,Cas13b
3300008506@183,VI,VI,3991,1,6,0,1,1,0.0,Cas13b
3300008634@342,VI,VI,2908,1,10,0,1,1,0.0,Cas13b
3300008664@337,VI,VI,4129,1,8,0,1,1,0.0,Cas13b
3300008680@200,VI,VI,4604,1,9,0,1,2,0.0,Cas13b
3300008680@79,VI,VI,4362,1,11,0,1,1,0.0,Cas13b
3300009073@5,VI,VI,5572,1,24,0,1,3,0.0,Cas13b
3300009074@18,VI,VI,4731,1,5,0,2,2,0.0,Cas13b
3300009393@61,VI,VI,4888,1,13,0,1,2,0.0,Cas13b
3300009421@87,VI,VI,4390,1,13,0,1,1,0.0,Cas13b
3300009430@29,VI,VI,4251,1,5,0,1,1,0.0,Cas13b
3300009517@287,VI,VI,5203,1,16,0,2,3,0.0,Cas13b
3300009695@118,VI,VI,4216,1,12,0,1,1,0.0,Cas13b
3300009768@253,VI,VI,3764,1,4,0,1,1,0.0,Cas13b
3300009870@874,VI,VI,5541,1,24,0,2,2,0.0,Cas13b
3300010163@511,VI,VI,6071,1,11,0,1,3,0.0,Cas13b
3300010163@786,VI,VI,5716,1,6,0,2,2,0.0,Cas13b
3300010353@23,VI,VI,8630,1,68,0,1,2,0.0,Cas13b
3300010430@26,VI,VI,4345,1,4,0,2,2,0.0,Cas13b
3300011134@40,VI,VI,5640,1,22,0,2,4,0.0,Cas13b
3300011503@5,VI,VI,5036,1,13,0,2,2,0.0,Cas13b
3300011692@5,VI,VI,5439,1,19,0,2,3,0.0,Cas13b
3300011909@25,VI,VI,5088,1,15,0,2,2,0.0,Cas13b
3300011909@6,VI,VI,4983,1,11,0,1,2,0.0,Cas13b
3300011933@33,VI,VI,4519,1,4,0,1,2,0.0,Cas13b
3300011933@40,VI,VI,4283,1,5,0,1,2,0.0,Cas13b
3300011967@23,VI,VI,4283,1,5,0,1,2,0.0,Cas13b
3300011967@27,VI,VI,4519,1,4,0,1,3,0.0,Cas13b
3300011970@13,VI,VI,4784,1,8,0,1,2,0.0,Cas13b
3300011970@141,VI,VI,4435,1,8,0,1,2,0.0,Cas13b
3300011973@10,VI,VI,4555,1,8,0,1,2,0.0,Cas13b
3300011973@24,VI,VI,4983,1,11,0,1,2,0.0,Cas13b
3300011973@39,VI,VI,5088,1,15,0,2,2,0.0,Cas13b
3300011974@175,VI,VI,4753,1,11,0,1,2,0.0,Cas13b
3300011974@24,VI,VI,4858,1,13,0,1,2,0.0,Cas13b
3300011976@369,VI,VI,4429,1,5,0,2,2,0.0,Cas13b
3300011976@63,VI,VI,4291,1,10,0,1,1,0.0,Cas13b
3300011976@84,VI,VI,4617,1,8,0,1,2,0.0,Cas13b
3300011978@47,VI,VI,5088,1,15,0,2,2,0.0,Cas13b
3300011978@53,VI,VI,4983,1,11,0,1,2,0.0,Cas13b
3300011985@210,VI,VI,4784,1,8,0,1,2,0.0,Cas13b
3300011985@35,VI,VI,4435,1,8,0,1,2,0.0,Cas13b
3300011988@15,VI,VI,5023,1,15,0,1,2,0.0,Cas13b
3300011988@31,VI,VI,4983,1,11,0,1,2,0.0,Cas13b
3300011988@44,VI,VI,5088,1,15,0,2,2,0.0,Cas13b
3300011988@75,VI,VI,5805,1,28,0,1,2,0.0,Cas13b
3300011990@183,VI,VI,5180,1,14,0,1,2,0.0,Cas13b
3300011990@233,VI,VI,4539,1,14,0,1,3,0.0,Cas13b
3300012007@5,VI,VI,7249,1,11,0,2,5,0.0,Cas13b
3300012016@102,VI,VI,5961,1,34,0,1,1,0.0,Cas13b
3300012020@40,VI,VI,6682,1,25,0,2,2,0.0,Cas13b
3300012533@188,VI,VI,4453,1,6,0,3,3,0.0,Cas13b
3300012943@19,VI,VI,3624,1,7,0,1,1,0.0,Cas13b
3300012956@386,VI,VI,6948,1,24,0,2,3,0.0,Cas13b
3300012983@187,VI,VI,9559,1,9,0,4,4,0.0,Cas13b
3300013075@2,VI,VI,4773,1,18,0,1,2,0.0,Cas13b
3300013901@5,VI,VI,6267,1,4,0,2,2,0.0,Cas13b
3300013939@6,VI,VI,4323,1,11,0,1,2,0.0,Cas13b
3300014026@551,VI,VI,4122,1,8,0,1,1,0.0,Cas13b
3300014038@275,VI,VI,4933,1,14,0,1,2,0.0,Cas13b
3300014043@40,VI,VI,7883,1,19,0,3,5,0.0,Cas13b
3300014047@14,VI,VI,4719,1,11,0,1,1,0.0,Cas13b
3300014057@249,VI,VI,4689,1,12,0,1,2,0.0,Cas13b
3300014060@71,VI,VI,4154,1,11,0,1,1,0.0,Cas13b
3300014203@300,VI,VI,4050,1,7,0,1,2,0.0,Cas13b
3300014292@5,VI,VI,3583,1,4,0,1,1,0.0,Cas13b
3300014293@30,VI,VI,4464,1,13,0,1,1,0.0,Cas13b
3300015369@17,VI,VI,8523,1,24,0,2,3,0.0,Cas13b
3300017646@29,VI,VI,3916,1,5,0,1,2,0.0,Cas13b
3300017652@144,VI,VI,3916,1,5,0,1,2,0.0,Cas13b
3300017658@16,VI,VI,4708,1,17,0,1,3,0.0,Cas13b
3300017814@551,VI,VI,5287,1,17,0,2,3,0.0,Cas13b
3300017814@619,VI,VI,4807,1,9,0,1,2,0.0,Cas13b
3300017817@149,VI,VI,4132,1,9,0,1,1,0.0,Cas13b
3300018475@1308,VI,VI,3673,1,7,0,1,1,0.0,Cas13b
3300018475@656,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300018493@247,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300018493@878,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300018493@965,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300018494@561,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300018494@580,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300018494@886,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300018495@491,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300018495@541,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300018495@987,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300018878@1191,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300018878@411,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300018878@818,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300019376@84,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300019378@172,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300019760@28,VI,VI,4592,1,4,0,3,3,0.0,Cas13b
3300019845@27,VI,VI,6325,1,18,0,2,3,0.0,Cas13b
3300020057@94,VI,VI,4052,1,11,0,1,2,0.0,Cas13b
3300020079@9,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300020112@206,VI,VI,4628,1,14,0,1,1,0.0,Cas13b
3300020137@158,VI,VI,4305,1,10,0,1,1,0.0,Cas13b
3300020144@14,VI,VI,4368,1,11,0,1,3,0.0,Cas13b
3300020148@162,VI,VI,4368,1,11,0,1,3,0.0,Cas13b
3300020271@1,VI,VI,2642,1,13,0,1,1,0.0,Cas13b
3300020383@28,VI,VI,4328,1,13,0,1,2,0.0,Cas13b
3300020398@28,VI,VI,4328,1,13,0,1,2,0.0,Cas13b
3300020412@5,VI,VI,4328,1,13,0,1,1,0.0,Cas13b
3300020425@5,VI,VI,4328,1,13,0,1,1,0.0,Cas13b
3300020426@56,VI,VI,4328,1,13,0,1,1,0.0,Cas13b
3300020427@25,VI,VI,4328,1,13,0,1,2,0.0,Cas13b
3300020435@38,VI,VI,4328,1,13,0,1,2,0.0,Cas13b
3300020467@46,VI,VI,4328,1,13,0,1,1,0.0,Cas13b
3300020591@6,VI,VI,4773,1,18,0,1,2,0.0,Cas13b
3300020596@126,VI,VI,4052,1,11,0,1,1,0.0,Cas13b
3300022561@366,VI,VI,4216,1,12,0,1,1,0.0,Cas13b
3300022589@232,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022601@169,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022654@183,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022660@1112,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022660@691,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300022660@736,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300022661@604,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300022661@884,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300022661@935,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022741@159,VI,VI,4072,1,9,0,1,1,0.0,Cas13b
3300022742@112,VI,VI,4230,1,11,0,1,1,0.0,Cas13b
3300022753@1067,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300022753@307,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300022753@860,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300022834@40,VI,VI,7815,1,15,0,2,5,0.0,Cas13b
3300022864@2,VI,VI,5007,1,15,0,1,2,0.0,Cas13b
3300022864@20,VI,VI,5134,1,12,0,2,3,0.0,Cas13b
3300022882@49,VI,VI,7818,1,15,0,2,5,0.0,Cas13b
3300022919@50,VI,VI,4342,1,12,0,1,1,0.0,Cas13b
3300023233@36,VI,VI,4139,1,10,0,1,1,0.0,Cas13b
3300023233@8,VI,VI,7818,1,15,0,2,5,0.0,Cas13b
3300023241@33,VI,VI,7818,1,15,0,2,5,0.0,Cas13b
3300023244@20,VI,VI,7818,1,15,0,2,5,0.0,Cas13b
3300023253@28,VI,VI,5007,1,15,0,1,2,0.0,Cas13b
3300023371@1332,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300023371@1375,VI,VI,3673,1,7,0,1,1,0.0,Cas13b
3300023371@1597,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024040@10,VI,VI,6414,1,44,0,1,4,0.0,Cas13b
3300024046@39,VI,VI,4368,1,11,0,1,3,0.0,Cas13b
3300024048@58,VI,VI,7818,1,15,0,2,5,0.0,Cas13b
3300024048@70,VI,VI,4974,1,10,0,3,3,0.0,Cas13b
3300024268@1338,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300024268@1403,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024269@1225,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024269@862,VI,VI,4474,1,6,0,1,1,0.0,Cas13b
3300024269@883,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300024269@909,VI,VI,3673,1,7,0,1,1,0.0,Cas13b
3300024270@1523,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024270@719,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300024270@868,VI,VI,4119,1,7,0,1,1,0.0,Cas13b
3300024272@625,VI,VI,3673,1,7,0,1,1,0.0,Cas13b
3300024272@95,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024303@1099,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300024303@1361,VI,VI,3673,1,7,0,1,1,0.0,Cas13b
3300025140@12,VI,VI,3750,1,5,0,1,1,0.0,Cas13b
3300025147@2,VI,VI,4216,1,12,0,1,1,0.0,Cas13b
3300025154@151,VI,VI,5589,1,9,0,3,3,0.0,Cas13b
3300025154@84,VI,VI,4292,1,14,0,1,1,0.0,Cas13b
3300025308@92,VI,VI,5379,1,19,0,2,2,0.0,Cas13b
3300025530@230,VI,VI,3881,1,5,0,1,1,0.0,Cas13b
3300025572@369,VI,VI,4211,1,10,0,1,1,0.0,Cas13b
3300025572@374,VI,VI,3881,1,5,0,1,1,0.0,Cas13b
3300025575@127,VI,VI,4853,1,11,0,1,3,0.0,Cas13b
3300025586@77,VI,VI,4951,1,12,0,2,3,0.0,Cas13b
3300025586@79,VI,VI,4833,1,10,0,3,3,0.0,Cas13b
3300025600@143,VI,VI,6482,1,11,0,2,5,0.0,Cas13b
3300025642@114,VI,VI,3417,1,12,0,1,1,0.0,Cas13b
3300026284@49,VI,VI,5399,1,19,0,2,2,0.0,Cas13b
3300026299@143,VI,VI,4611,1,7,0,2,2,0.0,Cas13b
3300026302@269,VI,VI,5203,1,16,0,2,2,0.0,Cas13b
3300027009@37,VI,VI,4825,1,13,0,2,2,0.0,Cas13b
3300027009@68,VI,VI,6038,1,14,0,2,2,0.0,Cas13b
3300027028@28,VI,VI,4599,1,17,0,1,2,0.0,Cas13b
3300027262@94,VI,VI,4390,1,13,0,1,2,0.0,Cas13b
3300027271@98,VI,VI,4132,1,9,0,1,1,0.0,Cas13b
3300027274@8,VI,VI,4547,1,17,0,1,1,0.0,Cas13b
3300027373@57,VI,VI,7243,1,13,0,2,4,0.0,Cas13b
3300027498@195,VI,VI,4390,1,13,0,1,2,0.0,Cas13b
3300027623@131,VI,VI,4521,1,15,0,1,2,0.0,Cas13b
3300027673@224,VI,VI,5062,1,34,0,2,4,0.0,Cas13b
3300027673@236,VI,VI,4388,1,9,0,1,1,0.0,Cas13b
3300027724@33,VI,VI,4978,1,5,0,2,2,0.0,Cas13b
3300027851@223,VI,VI,4059,1,10,0,1,1,0.0,Cas13b
3300028242@707,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300028326@531,VI,VI,4820,1,9,0,1,2,0.0,Cas13b
3300028376@3,VI,VI,4483,1,17,0,1,1,0.0,Cas13b
3300028454@145,VI,VI,3553,1,3,0,1,1,0.0,Cas13b
3300028549@622,VI,VI,4326,1,14,0,1,3,0.0,Cas13b
3300028582@171,VI,VI,7808,1,24,0,3,5,0.0,Cas13b
3300028588@88,VI,VI,5635,1,14,0,2,2,0.0,Cas13b
3300028591@1037,VI,VI,5170,1,22,0,1,1,0.0,Cas13b
3300028591@114,VI,VI,8374,1,7,0,3,6,0.0,Cas13b
3300028591@499,VI,VI,4580,1,5,0,1,1,0.0,Cas13b
3300028591@649,VI,VI,10189,1,22,0,3,5,0.0,Cas13b
3300028676@11,VI,VI,5233,1,15,0,2,4,0.0,Cas13b
3300028733@8,VI,VI,9941,1,8,0,3,4,0.0,Cas13b
3300028738@134,VI,VI,5330,1,28,0,1,1,0.0,Cas13b
3300028738@167,VI,VI,4905,1,11,0,2,2,0.0,Cas13b
3300028738@168,VI,VI,6649,1,38,0,2,3,0.0,Cas13b
3300028738@44,VI,VI,5233,1,15,0,2,4,0.0,Cas13b
3300028739@39,VI,VI,5693,1,25,0,2,2,0.0,Cas13b
3300028739@7,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300028743@32,VI,VI,9941,1,8,0,3,4,0.0,Cas13b
3300028764@21,VI,VI,4319,1,15,0,2,4,0.0,Cas13b
3300028764@21,VI,VI,4319,1,15,0,2,4,0.0,Cas13b
3300028767@167,VI,VI,7599,1,15,0,3,6,0.0,Cas13b
3300028767@62,VI,VI,5330,1,28,0,1,1,0.0,Cas13b
3300028769@3,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300028769@73,VI,VI,5627,1,24,0,2,2,0.0,Cas13b
3300028774@53,VI,VI,5585,1,33,0,1,1,0.0,Cas13b
3300028774@70,VI,VI,5019,1,27,0,1,3,0.0,Cas13b
3300028774@95,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300028805@151,VI,VI,14583,1,32,0,4,8,0.0,Cas13b
3300028833@132,VI,VI,8379,1,36,0,1,3,0.0,Cas13b
3300028833@597,VI,VI,7458,1,17,0,2,3,0.0,Cas13b
3300028853@3,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300028857@14,VI,VI,5330,1,28,0,1,1,0.0,Cas13b
3300028857@19,VI,VI,7599,1,15,0,3,6,0.0,Cas13b
3300028858@1,VI,VI,5889,1,28,0,2,2,0.0,Cas13b
3300028858@8,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300028862@216,VI,VI,12672,1,15,0,4,8,0.0,Cas13b
3300028862@92,VI,VI,4905,1,11,0,2,2,0.0,Cas13b
3300028864@171,VI,VI,5233,1,15,0,2,4,0.0,Cas13b
3300028864@214,VI,VI,5330,1,28,0,1,1,0.0,Cas13b
3300028864@232,VI,VI,4216,1,11,0,1,1,0.0,Cas13b
3300028864@252,VI,VI,4755,1,23,0,1,1,0.0,Cas13b
3300028864@99,VI,VI,5522,1,20,0,2,2,0.0,Cas13b
3300028868@1,VI,VI,5324,1,18,0,2,3,0.0,Cas13b
3300028886@1170,VI,VI,8287,1,19,0,3,4,0.0,Cas13b
3300028886@320,VI,VI,7324,1,21,0,1,3,0.0,Cas13b
3300028886@48,VI,VI,7230,1,12,0,2,5,0.0,Cas13b
3300028886@492,VI,VI,4372,1,22,0,2,2,0.0,Cas13b
3300028888@268,VI,VI,6677,1,12,0,3,3,0.0,Cas13b
3300028888@436,VI,VI,2616,1,6,0,1,1,0.0,Cas13b
3300028914@200,VI,VI,4066,1,8,0,2,2,0.0,Cas13b
3300028914@98,VI,VI,5093,1,5,0,1,2,0.0,Cas13b
3300028916@124,VI,VI,4287,1,4,0,2,2,0.0,Cas13b
3300028968@37,VI,VI,5283,1,21,0,1,3,0.0,Cas13b
3300029025@61,VI,VI,4613,1,11,0,1,2,0.0,Cas13b
3300029105@56,VI,VI,6763,1,12,0,3,4,0.0,Cas13b
3300029221@264,VI,VI,4825,1,11,0,2,2,0.0,Cas13b
3300029297@74,VI,VI,11280,1,20,0,3,7,0.0,Cas13b
3300029305@1543,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300029305@2702,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300029305@5575,VI,VI,4474,1,6,0,1,1,0.0,Cas13b
3300029388@37,VI,VI,8316,1,5,0,3,6,0.0,Cas13b
3300029435@205,VI,VI,5100,1,7,0,3,3,0.0,Cas13b
3300029445@388,VI,VI,5100,1,7,0,3,3,0.0,Cas13b
3300029449@21,VI,VI,5338,1,9,0,2,4,0.0,Cas13b
3300029573@371,VI,VI,6709,1,5,0,3,3,0.0,Cas13b
3300029615@66,VI,VI,4445,1,11,0,1,2,0.0,Cas13b
3300029705@1974,VI,VI,4474,1,6,0,1,1,0.0,Cas13b
3300029705@200,VI,VI,3666,1,7,0,1,1,0.0,Cas13b
3300029705@956,VI,VI,4863,1,7,0,2,3,0.0,Cas13b
3300029718@163,VI,VI,8290,1,7,0,3,3,0.0,Cas13b
3300029720@258,VI,VI,3427,1,6,0,1,1,0.0,Cas13b
3300029788@176,VI,VI,5092,1,7,0,3,3,0.0,Cas13b
3300029795@388,VI,VI,5100,1,7,0,3,3,0.0,Cas13b
3300029831@28,VI,VI,5668,1,8,0,2,3,0.0,Cas13b
3300029882@16,VI,VI,4108,1,14,0,1,1,0.0,Cas13b
3300029908@112,VI,VI,5530,1,22,0,2,2,0.0,Cas13b
3300029908@181,VI,VI,3770,1,5,0,1,1,0.0,Cas13b
3300029910@109,VI,VI,4174,1,15,0,1,1,0.0,Cas13b
3300029923@117,VI,VI,6139,1,30,0,2,2,0.0,Cas13b
3300029923@164,VI,VI,8422,1,28,0,3,4,0.0,Cas13b
3300029923@168,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300029923@227,VI,VI,4216,1,11,0,1,2,0.0,Cas13b
3300029923@249,VI,VI,5019,1,27,0,1,3,0.0,Cas13b
3300029944@29,VI,VI,3844,1,10,0,1,1,0.0,Cas13b
3300029959@213,VI,VI,7243,1,13,0,2,4,0.0,Cas13b
3300029969@34,VI,VI,5404,1,4,0,2,3,0.0,Cas13b
3300029981@34,VI,VI,5330,1,28,0,1,1,0.0,Cas13b
3300029981@44,VI,VI,5035,1,15,0,2,2,0.0,Cas13b
3300029981@50,VI,VI,4636,1,27,0,1,3,0.0,Cas13b
3300029981@65,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300029987@104,VI,VI,5233,1,15,0,2,4,0.0,Cas13b
3300029987@29,VI,VI,4579,1,30,0,1,1,0.0,Cas13b
3300029987@39,VI,VI,6308,1,33,0,2,2,0.0,Cas13b
3300029989@105,VI,VI,4657,1,27,0,1,3,0.0,Cas13b
3300029989@11,VI,VI,7693,1,38,0,2,3,0.0,Cas13b
3300029989@126,VI,VI,8673,1,15,0,3,6,0.0,Cas13b
3300029989@201,VI,VI,4905,1,11,0,2,2,0.0,Cas13b
3300029995@24,VI,VI,5233,1,15,0,2,4,0.0,Cas13b
3300029995@52,VI,VI,4228,1,15,0,1,1,0.0,Cas13b
3300029998@133,VI,VI,7941,1,15,0,3,6,0.0,Cas13b
3300029998@190,VI,VI,8332,1,28,0,3,4,0.0,Cas13b
3300030000@105,VI,VI,6308,1,33,0,2,2,0.0,Cas13b
3300030000@162,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300030000@191,VI,VI,5889,1,28,0,2,2,0.0,Cas13b
3300030001@61,VI,VI,7122,1,28,0,2,3,0.0,Cas13b
3300030001@74,VI,VI,5019,1,27,0,1,3,0.0,Cas13b
3300030001@85,VI,VI,3542,1,8,0,1,1,0.0,Cas13b
3300030001@89,VI,VI,13199,1,15,0,4,8,0.0,Cas13b
3300030002@117,VI,VI,5233,1,15,0,2,2,0.0,Cas13b
3300030002@143,VI,VI,5390,1,18,0,2,2,0.0,Cas13b
3300030002@35,VI,VI,4216,1,11,0,1,2,0.0,Cas13b
3300030019@227,VI,VI,7908,1,15,0,3,6,0.0,Cas13b
3300030019@27,VI,VI,5585,1,33,0,1,1,0.0,Cas13b
3300030019@284,VI,VI,6547,1,38,0,2,2,0.0,Cas13b
3300030042@75,VI,VI,3448,1,4,0,1,1,0.0,Cas13b
3300030047@190,VI,VI,5019,1,27,0,1,3,0.0,Cas13b
3300030047@199,VI,VI,13191,1,15,0,4,8,0.0,Cas13b
