sequence_id,phage_id,pident,algn_length,mismatch,gapopen,phagestart,phageend,phagelength,evalue,bitscore,phage_cg,phage_taxonomy,phage_completeness,phage_host,phage_lifestyle,phage_source
3300014293@30_sp2,SRS142896_a1_ct5478_vs01,100.0,30,0,0,41894,41865,50150,2.92e-07,60.0,42.74376869391824,Siphoviridae,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp2,SRS051791_a1_ct13217_vs01,100.0,30,0,0,41457,41428,50350,2.92e-07,60.0,42.69116186693148,Siphoviridae,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp2,SRS048411_a1_ct10841_vs01,100.0,30,0,0,26369,26340,30851,2.92e-07,60.0,42.81546789407151,Siphoviridae,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp2,SRS023958_a1_ct15672_vs01,100.0,30,0,0,41584,41555,49962,2.92e-07,60.0,42.58036107441656,Caudovirales,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp2,SRS017808_a1_ct24569_vs01,100.0,30,0,0,34096,34067,55350,2.92e-07,60.0,42.2312556458898,Podoviridae,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp2,MGV-GENOME-0353118,100.0,30,0,0,126,155,34635,2.92e-07,60.0,43.56575718204129,Caudovirales,Medium-quality,Bacteroides fragilis,virulent,MGV
3300014293@30_sp3,IMGVR_UViG_3300008515_000303|3300008515|Ga0115189_1000076|280-39371,90.323,31,3,0,1761,1731,39092,1.2,38.2,38.17405095671749,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp3,IMGVR_UViG_3300007300_000205|3300007300|Ga0104843_100030|59703-100110,90.323,31,3,0,38672,38702,40408,1.2,38.2,38.69283310235597,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp3,SRS104915_a1_ct7307_vs01,90.323,31,3,0,46256,46286,50209,1.2,38.2,38.69624967635284,Caudovirales,High-quality,Prevotella,virulent,CHVD
3300014293@30_sp4,IMGVR_UViG_3300008269_000165|3300008269|Ga0114154_100240|288-44337,96.667,30,1,0,23680,23651,44050,7.11e-05,52.0,40.72644721906924,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300011981_000208|3300011981|Ga0119778_1000009|42150-96719,96.667,30,1,0,40330,40301,54570,7.11e-05,52.0,40.62855048561481,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300008755_000207|3300008755|Ga0114091_100150|6101-48246,96.667,30,1,0,18467,18496,42146,7.11e-05,52.0,41.17353960043658,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300006320_000373|3300006320|Ga0099576_1000061|3-56826,96.667,30,1,0,41348,41319,56824,7.11e-05,52.0,39.4938758271153,Caudoviricetes,Medium-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300008136_000407|3300008136|Ga0113979_100160|9924-48995,96.667,30,1,0,30758,30729,39072,7.11e-05,52.0,41.73576986076986,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300011893_000070|3300011893|Ga0119779_100018|42140-96678,96.667,30,1,0,40299,40270,54539,7.11e-05,52.0,40.63880892572288,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300014815_000259|3300014815|Ga0119815_1000339|3594-43204,96.667,30,1,0,24428,24399,39611,7.11e-05,52.0,43.18497387089445,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300007648_000258|3300007648|Ga0105531_100068|6854-61465,96.667,30,1,0,18950,18979,54612,7.11e-05,52.0,40.54969603750092,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_2903617902_000001|2903617902|2903617918|142765-217391,96.667,30,1,0,68026,67997,74627,7.11e-05,52.0,38.727270290913474,Caudoviricetes,High-quality,Prevotella sp000257925,temperate,IMG_VR
3300014293@30_sp4,IMGVR_UViG_3300045988_028257|3300045988|Ga0495776_057208,96.667,30,1,0,88921,88892,96152,7.11e-05,52.0,33.005033696646976,Crassvirales,High-quality,Bacteroidales,virulent,IMG_VR
3300014293@30_sp5,SRS017381_a1_ct75766_vs1,100.0,30,0,0,11159,11188,20207,2.92e-07,60.0,34.54743405750483,Siphoviridae,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp5,SRS011115_a1_ct21454_vs1,100.0,30,0,0,8646,8617,20696,2.92e-07,60.0,34.44626981059142,Siphoviridae,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp5,MGV-GENOME-0359744,100.0,30,0,0,14428,14399,33859,2.92e-07,60.0,35.66555421010662,Caudovirales,Medium-quality,Turicibacter sanguinis,virulent,MGV
3300014293@30_sp5,SRS017387_a1_ct7439_vs1,93.333,30,2,0,7728,7699,12336,0.017,44.1,34.24935149156939,Siphoviridae,Low-quality,Prevotella,temperate,CHVD
3300014293@30_sp5,IMGVR_UViG_3300045988_178931|3300045988|Ga0495776_167706,90.0,30,3,0,23424,23453,32660,4.2,36.2,35.1837109614207,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014293@30_sp5,MGV-GENOME-0260379,90.0,30,3,0,23424,23453,32660,4.2,36.2,35.1837109614207,Caudovirales,High-quality,Clostridioides difficile,virulent,MGV
3300014293@30_sp6,SRS020628_a1_ct22080_vs1,100.0,30,0,0,9489,9460,36509,2.92e-07,60.0,36.08151414719658,Siphoviridae,Complete,Prevotella,virulent,CHVD
3300014293@30_sp6,MGV-GENOME-0164249,100.0,29,0,0,13869,13897,22393,1.15e-06,58.0,36.16755236011254,Caudovirales,Medium-quality,Bacteroidaceae,virulent,MGV
3300014293@30_sp8,MGV-GENOME-0348788,100.0,30,0,0,9445,9416,24038,2.92e-07,60.0,39.171312089192114,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,MGV
3300014293@30_sp8,IMGVR_UViG_3300008098_000271|3300008098|Ga0114255_100153|8592-49297,96.667,30,1,0,29137,29166,40706,7.11e-05,52.0,38.61347221539822,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
3300014293@30_sp8,SRS098533_a1_ct4420_vs01,96.667,30,1,0,8492,8521,20315,7.11e-05,52.0,39.14349003199607,Siphoviridae,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp9,SRS149720_a1_ct5229,96.667,30,1,0,21088,21117,78562,7.11e-05,52.0,29.42389450370408,Myoviridae,High-quality,Bacteroides,virulent,CHVD
3300014293@30_sp9,IMGVR_UViG_3300007320_000007|3300007320|Ga0104940_1000131,93.333,30,2,0,2228,2257,80246,0.017,44.1,29.22014804476236,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014293@30_sp9,IMGVR_UViG_3300006292_000008|3300006292|Ga0099622_100072,93.333,30,2,0,17929,17958,79836,0.017,44.1,29.27000350718974,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
3300014293@30_sp9,SRS022536_a1_ct33373_vs01,93.333,30,2,0,61896,61867,79872,0.017,44.1,29.25055088141026,Caudovirales,High-quality,Bacteroides,virulent,CHVD
3300014293@30_sp10,SRS022149_a1_ct29891,100.0,30,0,0,50156,50185,52310,2.92e-07,60.0,45.68724909195183,Myoviridae,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp10,uvig_97191,100.0,30,0,0,31681,31710,33630,2.92e-07,60.0,47.219744275944095,Caudovirales,Medium-quality,Bacteroides uniformis,virulent,GPD
3300014293@30_sp10,MGV-GENOME-0229650,100.0,30,0,0,1763,1734,33249,2.92e-07,60.0,47.39992180215946,Caudovirales,Medium-quality,Bacteroides uniformis,virulent,MGV
3300014293@30_sp10,MGV-GENOME-0173049,100.0,30,0,0,1821,1792,23630,2.92e-07,60.0,48.6923402454507,Caudovirales,Medium-quality,Bacteroides oleiciplenus,virulent,MGV
3300014293@30_sp11,SRS024441_a1_ct33592_vs1,100.0,30,0,0,16305,16334,23634,2.92e-07,60.0,48.76026064144876,Siphoviridae,Low-quality,Prevotella,virulent,CHVD
3300014293@30_sp11,MGV-GENOME-0230253,96.667,30,1,0,18021,18050,33365,7.11e-05,52.0,47.3849842649483,Caudovirales,Medium-quality,Bacteroides oleiciplenus,virulent,MGV
3300014293@30_sp11,MGV-GENOME-0229650,96.667,30,1,0,14348,14319,33249,7.11e-05,52.0,47.39992180215946,Caudovirales,Medium-quality,Bacteroides uniformis,virulent,MGV
3300014293@30_sp11,IMGVR_UViG_3300006678_000010|3300006678|Ga0100058_100198,96.667,30,1,0,9369,9340,56619,7.11e-05,52.0,43.23283703350466,Caudoviricetes,Medium-quality,Prevotella,virulent,IMG_VR
3300014293@30_sp11,uvig_99536,96.667,30,1,0,14203,14174,33323,7.11e-05,52.0,46.66146505416679,Caudovirales,Medium-quality,Prevotella stercorea,virulent,GPD
3300014293@30_sp11,SRS149961_a1_ct15861_vs1,96.667,30,1,0,1847,1876,16623,7.11e-05,52.0,48.48102027311556,Podoviridae,Low-quality,Prevotella,virulent,CHVD
3300014293@30_sp11,SRS147094_a1_ct19299_vs01,96.667,30,1,0,18866,18895,41389,7.11e-05,52.0,44.27263282514678,Caudovirales,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp11,SRS144512_a1_ct20284_vs01,96.667,30,1,0,11317,11346,28879,7.11e-05,52.0,47.65054191627134,Caudovirales,Low-quality,-,virulent,CHVD
3300014293@30_sp11,SRS143354_a1_ct6378_vs01,96.667,30,1,0,19199,19228,34850,7.11e-05,52.0,46.6829268292683,Caudovirales,Medium-quality,Prevotella,virulent,CHVD
3300014293@30_sp11,SRS143310_a1_ct22852_vs1,96.667,30,1,0,9708,9679,31597,7.11e-05,52.0,46.865208722347056,Myoviridae,Medium-quality,Prevotella,virulent,CHVD
GCA_023092945.2@6_sp0,TemPhD_cluster_36263,93.103,29,2,0,6372,6344,41231,0.069,42.1,33.53787198952244,Caudovirales,High-quality,Elizabethkingia anophelis,temperate,TEMPHD
GCA_023148185.1@27_sp3,MGV-GENOME-0327944,100.0,29,0,0,26250,26222,43218,1.15e-06,58.0,43.53278726456569,Caudovirales,High-quality,Bacteroides vulgatus,virulent,MGV
GCA_023148185.1@27_sp3,IMGVR_UViG_3300045988_174628|3300045988|Ga0495776_158320,100.0,29,0,0,26250,26222,43218,1.15e-06,58.0,43.53278726456569,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
GCA_023148185.1@27_sp3,IMGVR_UViG_2825927844_000001|2825927844|2825927845|1857532-1908120,96.552,29,1,0,23427,23399,50589,0.000281,50.1,42.91842100061278,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
GCA_023148185.1@27_sp3,IMGVR_UViG_2825903561_000001|2825903561|2825903561|306351-356912,96.552,29,1,0,27136,27164,50562,0.000281,50.1,42.911672797753255,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
GCA_023148185.1@27_sp3,IMGVR_UViG_2874499349_000001|2874499349|2874499349|50467-102037,93.103,29,2,0,24940,24912,51571,0.069,42.1,43.22778305636889,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
GCA_023148185.1@27_sp4,IMGVR_UViG_3300008150_000415|3300008150|Ga0114319_1000014|33251-90707,100.0,30,0,0,52112,52083,57457,2.92e-07,60.0,42.18981151121709,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp4,IMGVR_UViG_7000000584_000316|7000000584|SRS049318_LANL_scaffold_15428|12477-69933,100.0,30,0,0,52112,52083,57457,2.92e-07,60.0,42.18981151121709,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp4,IMGVR_UViG_2903635032_000001|2903635032|2903635065,100.0,30,0,0,54227,54198,56266,2.92e-07,60.0,42.519461131056055,Caudoviricetes,High-quality,Prevotella intermedia,virulent,IMG_VR
GCA_023148185.1@27_sp4,IMGVR_UViG_2874429018_000001|2874429018|2874429019|243313-306293,100.0,30,0,0,5268,5297,62981,2.92e-07,60.0,42.07300614471031,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
GCA_023148185.1@27_sp4,IMGVR_UViG_2876634834_000005|2876634834|2876634836|16788-78134,100.0,30,0,0,4801,4830,61347,2.92e-07,60.0,42.73721616378959,Caudoviricetes,High-quality,Prevotella intermedia,temperate,IMG_VR
GCA_023148185.1@27_sp4,TemPhD_cluster_57620,96.667,30,1,0,4151,4180,55192,7.11e-05,52.0,41.63103348311349,Caudovirales,Medium-quality,Prevotella intermedia,temperate,TEMPHD
GCA_023148185.1@27_sp6,SAMEA2738138_b1_ct9,93.333,30,2,0,1196,1167,45365,0.017,44.1,42.56144604871597,Siphoviridae,High-quality,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp6,IMGVR_UViG_3300045988_098293|3300045988|Ga0495776_015574,93.333,30,2,0,11394,11423,45420,0.017,44.1,42.54953764861295,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
GCA_023148185.1@27_sp6,MGV-GENOME-0295151,93.333,30,2,0,11394,11423,45420,0.017,44.1,42.54953764861295,Caudovirales,Complete,GCA-900066995,virulent,MGV
GCA_023148185.1@27_sp8,MGV-GENOME-0296411,96.667,30,1,0,5992,5963,45730,7.11e-05,52.0,42.47977257817625,Caudovirales,Complete,GCA-900066995,virulent,MGV
GCA_023148185.1@27_sp8,IMGVR_UViG_3300045988_115899|3300045988|Ga0495776_015886,96.667,30,1,0,5992,5963,45730,7.11e-05,52.0,42.47977257817625,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
GCA_023148185.1@27_sp8,SAMEA2737885_b1_ct7,96.667,30,1,0,26878,26907,45675,7.11e-05,52.0,42.46743295019157,Caudovirales,High-quality,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp8,MGV-GENOME-0267287,96.667,30,1,0,37654,37625,39759,7.11e-05,52.0,42.44573555672929,Caudovirales,Medium-quality,GCA-900066995,virulent,MGV
GCA_023148185.1@27_sp11,IMGVR_UViG_3300045988_178931|3300045988|Ga0495776_167706,100.0,29,0,0,12699,12671,32660,1.15e-06,58.0,35.1837109614207,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
GCA_023148185.1@27_sp11,MGV-GENOME-0260379,100.0,29,0,0,12699,12671,32660,1.15e-06,58.0,35.1837109614207,Caudovirales,High-quality,Clostridioides difficile,virulent,MGV
GCA_023148185.1@27_sp11,MGV-GENOME-0157582,100.0,29,0,0,19678,19706,21495,1.15e-06,58.0,35.27797162130728,Caudovirales,Medium-quality,Turicibacter sanguinis,temperate,MGV
GCA_023148185.1@27_sp11,MGV-GENOME-0164249,96.552,29,1,0,9647,9675,22393,0.000281,50.1,36.16755236011254,Caudovirales,Medium-quality,Bacteroidaceae,virulent,MGV
GCA_023148185.1@27_sp11,SRS020628_a1_ct22080_vs1,96.552,29,1,0,13704,13676,36509,0.000281,50.1,36.08151414719658,Siphoviridae,Complete,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp11,SRS011115_a1_ct21454_vs1,96.552,29,1,0,19095,19123,20696,0.000281,50.1,34.44626981059142,Siphoviridae,Medium-quality,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp11,MGV-GENOME-0359744,96.552,29,1,0,24877,24905,33859,0.000281,50.1,35.66555421010662,Caudovirales,Medium-quality,Turicibacter sanguinis,virulent,MGV
GCA_023148185.1@27_sp12,IMGVR_UViG_3300008636_000155|3300008636|Ga0111420_100085|61064-107867,100.0,29,0,0,46515,46543,46804,1.15e-06,58.0,43.23134774805572,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp12,IMGVR_UViG_3300008493_000282|3300008493|Ga0111009_1000024|65259-113148,100.0,29,0,0,47601,47629,47890,1.15e-06,58.0,42.601795782000416,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp12,MGV-GENOME-0271462,100.0,29,0,0,35674,35702,35963,1.15e-06,58.0,43.09707199065706,Caudovirales,Medium-quality,Faecalibacterium prausnitzii,virulent,MGV
GCA_023148185.1@27_sp12,IMGVR_UViG_3300007208_000210|3300007208|Ga0103291_100033|38771-86660,100.0,29,0,0,290,262,47890,1.15e-06,58.0,42.601795782000416,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp12,SRS148180_a1_ct15540_vs01,100.0,29,0,0,5105,5077,54250,1.15e-06,58.0,41.90783410138249,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp12,SRS051791_a1_ct13217_vs01,100.0,29,0,0,2249,2221,50350,1.15e-06,58.0,42.69116186693148,Siphoviridae,High-quality,Prevotella,virulent,CHVD
GCA_023148185.1@27_sp12,MGV-GENOME-0327944,96.552,29,1,0,647,619,43218,0.000281,50.1,43.53278726456569,Caudovirales,High-quality,Bacteroides vulgatus,virulent,MGV
GCA_023148185.1@27_sp12,MGV-GENOME-0276554,96.552,29,1,0,11113,11085,41539,0.000281,50.1,41.90279014901659,Caudovirales,High-quality,Coprobacillus,virulent,MGV
GCA_023148185.1@27_sp12,IMGVR_UViG_3300008362_000172|3300008362|Ga0115107_100069|27990-68342,96.552,29,1,0,290,262,40353,0.000281,50.1,43.45897454959978,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp12,IMGVR_UViG_3300006251_000178|3300006251|Ga0099392_100037|31684-79470,96.552,29,1,0,290,262,47787,0.000281,50.1,42.81917676355494,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
GCA_023148185.1@27_sp17,uvig_217930,96.667,30,1,0,1462,1491,11328,7.11e-05,52.0,33.78354519774011,Caudovirales,Low-quality,Lactobacillus apodemi,virulent,GPD
GCA_023148185.1@27_sp17,MGV-GENOME-0157582,96.667,30,1,0,10969,10940,21495,7.11e-05,52.0,35.27797162130728,Caudovirales,Medium-quality,Turicibacter sanguinis,temperate,MGV
GCA_023148185.1@27_sp17,SRS017387_a1_ct7439_vs1,93.333,30,2,0,9406,9377,12336,0.017,44.1,34.24935149156939,Siphoviridae,Low-quality,Prevotella,temperate,CHVD
3300026299@143_sp0,IMGVR_UViG_3300003842_000043|3300003842|Ga0056913_1000056|144215-184302,100.0,30,0,0,29612,29583,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300026299@143_sp0,IMGVR_UViG_3300026302_000085|3300026302|Ga0209794_1000039|184395-224482,100.0,30,0,0,29612,29583,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300026299@143_sp0,IMGVR_UViG_3300009517_000087|3300009517|Ga0102832_1000053|112792-152879,100.0,30,0,0,10477,10506,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300026299@143_sp0,IMGVR_UViG_3300003770_000108|3300003770|Ga0056912_1000026|7283-47370,100.0,30,0,0,10477,10506,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300010353@23_sp26,IMGVR_UViG_3300003663_000016|3300003663|WaterBA2_1004492,100.0,30,0,0,12739,12710,36550,2.92e-07,60.0,36.84541723666211,Caudoviricetes,High-quality,Bacteroidia,virulent,IMG_VR
3300026299@143_sp2,TemPhD_cluster_59552,93.333,30,2,0,29908,29937,46995,0.017,44.1,45.53037557186935,Caudovirales,Low-quality,Runella limosa,temperate,TEMPHD
3300027009@68_sp2,IMGVR_UViG_3300031485_000046|3300031485|Ga0325302_1147673,90.0,30,3,0,34745,34716,64752,4.2,36.2,41.85816654311836,Caudoviricetes,Complete,Synergistales,virulent,IMG_VR
3300026284@49_sp3,TemPhD_cluster_59552,93.333,30,2,0,29937,29908,46995,0.017,44.1,45.53037557186935,Caudovirales,Low-quality,Runella limosa,temperate,TEMPHD
3300026284@49_sp5,IMGVR_UViG_3300003842_000043|3300003842|Ga0056913_1000056|144215-184302,100.0,30,0,0,29583,29612,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300026284@49_sp5,IMGVR_UViG_3300026302_000085|3300026302|Ga0209794_1000039|184395-224482,100.0,30,0,0,29583,29612,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
3300026284@49_sp5,IMGVR_UViG_3300009517_000087|3300009517|Ga0102832_1000053|112792-152879,100.0,30,0,0,10506,10477,40088,2.92e-07,60.0,46.29315505887048,Caudoviricetes,High-quality,Runella,temperate,IMG_VR
