sequence_id,spacerhost,phage_id,pident,algn_length,mismatch,gapopen,phagestart,phageend,phagelength,evalue,bitscore,phagecg,phagetaxonomy,completeness,phagehost,lifestyle,phagesource
GCA_009663565.1@4_3,Riemerella anatipestifer,IMGVR_UViG_2518645536_000001|2518645536|2518679801|1354423-1396578,100.0,30,0,0,4306,4277,42156,2.92e-07,60.0,33.456684694942595,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_026000155.1@6_1,Bacteroidia bacterium,Station72_DCM_ALL_assembly_NODE_2483_length_10002_cov_3.250628,90.0,30,3,0,2573,2544,10002,4.2,36.2,28.594281143771244,Caudovirales,Low-quality,Lawsonia intracellularis,temperate,GOV2
GCA_014844535.1@14_8,Flavobacterium columnare,Station191_SUR_ALL_assembly_NODE_18_length_111890_cov_446.688988,96.552,29,1,0,79274,79302,111890,0.000281,50.1,33.848422557869334,Caudovirales,Medium-quality,Cellulophaga baltica,virulent,GOV2
GCA_014844535.1@14_8,Flavobacterium columnare,Station188_DCM_ALL_assembly_NODE_2728_length_22965_cov_7.986469,96.552,29,1,0,22930,22958,22965,0.000281,50.1,29.97605051164816,Caudovirales,Low-quality,Clostridioides difficile,virulent,GOV2
GCA_014844535.1@14_8,Flavobacterium columnare,Station194_SUR_ALL_assembly_NODE_5263_length_10389_cov_61.048771,96.552,29,1,0,9760,9788,10389,0.000281,50.1,34.30551544903263,Caudovirales,Low-quality,Bacteroides xylanisolvens,virulent,GOV2
GCA_014844535.1@14_10,Flavobacterium columnare,KM873719.2,100.0,30,0,0,44354,44383,47142,2.92e-07,60.0,30.198124814390564,Caudovirales,High-quality,Campylobacter coli,virulent,GENBANK
GCA_014844535.1@14_10,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,45056,45085,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_014844535.1@14_9,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,37336,37365,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_000467995.1@7_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,96.667,30,1,0,43822,43793,57171,7.11e-05,52.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_2,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,51618,51647,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_2,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,46466,46495,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_4,Porphyromonas gingivalis,SAMEA2738073_b1_ct2_vs2,100.0,29,0,0,18418,18390,23250,1.15e-06,58.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
GCA_002754135.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,29,0,0,6222,6250,51286,1.15e-06,58.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_8,Porphyromonas gingivalis,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,100.0,30,0,0,6409,6438,43987,2.92e-07,60.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_8,Porphyromonas gingivalis,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,100.0,30,0,0,5032,5061,40356,2.92e-07,60.0,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_9,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,35292,35321,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_9,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,30168,30197,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754135.1@16_3,Porphyromonas gingivalis,MGV-GENOME-0272237,100.0,30,0,0,25912,25941,35387,2.92e-07,60.0,48.2013168677763,Caudovirales,Medium-quality,Ruminiclostridium siraeum,temperate,MGV
GCA_002754135.1@16_5,Porphyromonas gingivalis,MGV-GENOME-0211214,100.0,30,0,0,2636,2665,29957,2.92e-07,60.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_002754135.1@16_10,Porphyromonas gingivalis,SAMEA2738073_b1_ct2_vs2,96.667,30,1,0,15957,15928,23250,7.11e-05,52.0,52.79139784946236,Siphoviridae,Medium-quality,Porphyromonas,temperate,CHVD
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2600255045_000002|2600255045|2600278965|1087-49872,96.552,29,1,0,9083,9111,48786,0.000281,50.1,49.91800926495306,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,96.552,29,1,0,7549,7577,47811,0.000281,50.1,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,96.552,29,1,0,40550,40522,43987,0.000281,50.1,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,96.552,29,1,0,36834,36806,40356,0.000281,50.1,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,96.552,29,1,0,39073,39045,42511,0.000281,50.1,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_4,Porphyromonas gingivalis,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,96.552,29,1,0,40001,39973,43617,0.000281,50.1,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
GCA_023822465.1@16_6,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,16876,16847,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_7,Porphyromonas gingivalis,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,100.0,30,0,0,7290,7319,43987,2.92e-07,60.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_7,Porphyromonas gingivalis,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,100.0,30,0,0,6064,6093,43749,2.92e-07,60.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822465.1@16_2,Porphyromonas gingivalis,MGV-GENOME-0211214,96.667,30,1,0,10518,10489,29957,7.11e-05,52.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_021406625.1@13_5,Porphyromonas gingivalis,SAMN11031433_a1_ct16848_vs1,96.667,30,1,0,6390,6361,23975,7.11e-05,52.0,39.71637122002086,Myoviridae,Low-quality,Campylobacter,temperate,CHVD
GCA_021406625.1@13_3,Porphyromonas gingivalis,MGV-GENOME-0272237,100.0,30,0,0,3996,3967,35387,2.92e-07,60.0,48.2013168677763,Caudovirales,Medium-quality,Ruminiclostridium siraeum,temperate,MGV
GCA_900157295.1@5_5,Porphyromonas gingivalis,MGV-GENOME-0312490,96.667,30,1,0,6191,6162,50845,7.11e-05,52.0,40.83980725735078,Caudovirales,Complete,Bacteroidales,virulent,MGV
GCA_900157295.1@5_5,Porphyromonas gingivalis,uvig_527839,96.667,30,1,0,42872,42901,48381,7.11e-05,52.0,36.960790392922846,Caudovirales,High-quality,Parabacteroides distasonis,virulent,GPD
GCA_900157295.1@5_5,Porphyromonas gingivalis,IMGVR_UViG_3300029564_000012|3300029564|Ga0244919_100660,96.667,30,1,0,33766,33737,52239,7.11e-05,52.0,37.43563238193687,Caudoviricetes,High-quality,Bacteroidales,virulent,IMG_VR
GCA_900157295.1@5_5,Porphyromonas gingivalis,uvig_248982,96.667,30,1,0,51295,51266,52254,7.11e-05,52.0,37.430627320396525,Caudovirales,Complete,Parabacteroides distasonis,virulent,GPD
GCA_900157295.1@5_5,Porphyromonas gingivalis,SAMN10290186_a1_ct11308_vs1,96.667,30,1,0,11651,11680,16716,7.11e-05,52.0,37.67049533381192,Myoviridae,Low-quality,Bacteroidales,virulent,CHVD
GCA_900157295.1@5_5,Porphyromonas gingivalis,SAMN06164903_a1_ct10564,96.667,30,1,0,46285,46314,51832,7.11e-05,52.0,37.25304830992437,Myoviridae,High-quality,Bacteroidales,virulent,CHVD
GCA_002754015.1@34_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,56183,56212,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754015.1@34_1,Porphyromonas gingivalis,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,100.0,30,0,0,479,450,42511,2.92e-07,60.0,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002754015.1@34_1,Porphyromonas gingivalis,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,100.0,30,0,0,585,556,43617,2.92e-07,60.0,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
GCA_002754015.1@34_3,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,96.667,30,1,0,15253,15282,57171,7.11e-05,52.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_000467955.1@5_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,28615,28644,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_000467955.1@5_1,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,24159,24188,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_900157235.1@17_1,Porphyromonas gingivalis,MGV-GENOME-0211214,100.0,30,0,0,27738,27767,29957,2.92e-07,60.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_000765965.1@27_2,Porphyromonas sp.,TemPhD_cluster_59316,93.103,29,2,0,12066,12094,47858,0.069,42.1,48.44122194826361,Caudovirales,High-quality,Porphyromonas gingivalis,temperate,TEMPHD
GCA_000765965.1@27_10,Porphyromonas sp.,TemPhD_cluster_26955,100.0,30,0,0,12266,12295,48785,2.92e-07,60.0,48.87362918929999,Caudovirales,High-quality,Porphyromonas gulae,temperate,TEMPHD
GCA_001670625.1@12_6,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,93.333,30,2,0,28448,28477,38967,0.017,44.1,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_001670625.1@12_7,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,100.0,30,0,0,8243,8214,38967,2.92e-07,60.0,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_002206065.1@7_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,56282,56253,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_000955645.1@5_1,Prevotella intermedia,SRS098626_a1_ct21772,100.0,30,0,0,44738,44767,98664,2.92e-07,60.0,32.95021487067218,CrAss-like,High-quality,Prevotella,virulent,CHVD
GCA_000955645.1@5_2,Prevotella intermedia,MGV-GENOME-3337635,93.333,30,2,0,1483,1512,3225,0.017,44.1,35.1937984496124,Microviridae,Medium-quality,Bacillus cereus,virulent,MGV
GCA_023822445.1@5_1,Porphyromonas gingivalis,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,100.0,30,0,0,7319,7290,43987,2.92e-07,60.0,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_1,Porphyromonas gingivalis,IMGVR_UViG_2846829876_000002|2846829876|2846829876|620851-664599,100.0,30,0,0,6093,6064,43749,2.92e-07,60.0,50.54515531783584,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_2,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,16847,16876,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_2600255045_000002|2600255045|2600278965|1087-49872,96.552,29,1,0,9111,9083,48786,0.000281,50.1,49.91800926495306,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_2846822444_000001|2846822444|2846822444|1411026-1458836,96.552,29,1,0,7577,7549,47811,0.000281,50.1,50.235301499654895,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_2855585092_000002|2855585092|2855585172|3283-47269,96.552,29,1,0,40522,40550,43987,0.000281,50.1,50.48764407665901,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_2846820306_000001|2846820306|2846820306|552118-592473,96.552,29,1,0,36806,36834,40356,0.000281,50.1,50.44850827634056,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_2571042235_000001|2571042235|2571059602|13605-56115,96.552,29,1,0,39045,39073,42511,0.000281,50.1,50.859777469360864,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_023822445.1@5_4,Porphyromonas gingivalis,IMGVR_UViG_3300045988_183125|3300045988|Ga0495776_172817,96.552,29,1,0,39973,40001,43617,0.000281,50.1,50.37943920948255,Caudoviricetes,High-quality,Porphyromonas,temperate,IMG_VR
GCA_023822445.1@5_6,Porphyromonas gingivalis,MGV-GENOME-0211214,96.667,30,1,0,10489,10518,29957,7.11e-05,52.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_000321285.1@13_6,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,93.333,30,2,0,28448,28477,38967,0.017,44.1,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_000321285.1@13_7,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,100.0,30,0,0,8243,8214,38967,2.92e-07,60.0,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_014844415.1@14_8,Flavobacterium columnare,Station191_SUR_ALL_assembly_NODE_18_length_111890_cov_446.688988,96.552,29,1,0,79274,79302,111890,0.000281,50.1,33.848422557869334,Caudovirales,Medium-quality,Cellulophaga baltica,virulent,GOV2
GCA_014844415.1@14_8,Flavobacterium columnare,Station188_DCM_ALL_assembly_NODE_2728_length_22965_cov_7.986469,96.552,29,1,0,22930,22958,22965,0.000281,50.1,29.97605051164816,Caudovirales,Low-quality,Clostridioides difficile,virulent,GOV2
GCA_014844415.1@14_8,Flavobacterium columnare,Station194_SUR_ALL_assembly_NODE_5263_length_10389_cov_61.048771,96.552,29,1,0,9760,9788,10389,0.000281,50.1,34.30551544903263,Caudovirales,Low-quality,Bacteroides xylanisolvens,virulent,GOV2
GCA_014844415.1@14_10,Flavobacterium columnare,KM873719.2,100.0,30,0,0,44354,44383,47142,2.92e-07,60.0,30.198124814390564,Caudovirales,High-quality,Campylobacter coli,virulent,GENBANK
GCA_014844415.1@14_10,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,45056,45085,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_014844415.1@14_9,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,37336,37365,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_001670685.1@14_5,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,100.0,30,0,0,8214,8243,38967,2.92e-07,60.0,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_001670685.1@14_6,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,93.333,30,2,0,28477,28448,38967,0.017,44.1,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_002529235.1@6_2,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,28644,28615,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002529235.1@6_2,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,24188,24159,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_002529235.1@6_5,Porphyromonas gingivalis,MGV-GENOME-0317868,93.103,29,2,0,23570,23598,50436,0.069,42.1,42.60845427868982,Caudovirales,Medium-quality,Bacteroides fragilis,virulent,MGV
GCA_002529235.1@6_5,Porphyromonas gingivalis,MGV-GENOME-0253716,93.103,29,2,0,13947,13919,37373,0.069,42.1,42.46648650094989,Caudovirales,Medium-quality,Bacteroides fragilis,virulent,MGV
GCA_002529235.1@6_5,Porphyromonas gingivalis,SAMEA2738124_b1_ct5,93.103,29,2,0,33329,33301,53147,0.069,42.1,42.44454061376936,Siphoviridae,High-quality,Prevotellaceae,virulent,CHVD
GCA_002529235.1@6_3,Porphyromonas gingivalis,TemPhD_cluster_26955,90.0,30,3,0,47285,47256,48785,4.2,36.2,48.87362918929999,Caudovirales,High-quality,Porphyromonas gulae,temperate,TEMPHD
GCA_004214945.1@5_7,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,56638,56609,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_004214945.1@5_7,Porphyromonas gingivalis,IMGVR_UViG_2531839003_000001|2531839003|2531840682|878-52163,100.0,30,0,0,50753,50724,51286,2.92e-07,60.0,52.12533634910111,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_004214945.1@5_12,Porphyromonas gingivalis,MGV-GENOME-0291926,93.333,30,2,0,39020,38991,39458,0.017,44.1,47.01454711338639,Caudovirales,Medium-quality,Bacteroides,virulent,MGV
GCA_004214945.1@5_11,Porphyromonas gingivalis,MGV-GENOME-0211214,90.0,30,3,0,8757,8786,29957,4.2,36.2,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_028335125.1@18_1,Porphyromonas gingivalis,MGV-GENOME-0211214,100.0,30,0,0,11593,11622,29957,2.92e-07,60.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_028335125.1@18_1,Porphyromonas gingivalis,MGV-GENOME-0272237,100.0,30,0,0,1286,1315,35387,2.92e-07,60.0,48.2013168677763,Caudovirales,Medium-quality,Ruminiclostridium siraeum,temperate,MGV
GCA_028335125.1@18_2,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,93.333,30,2,0,10525,10554,57171,0.017,44.1,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_014844435.1@14_8,Flavobacterium columnare,Station191_SUR_ALL_assembly_NODE_18_length_111890_cov_446.688988,96.552,29,1,0,79274,79302,111890,0.000281,50.1,33.848422557869334,Caudovirales,Medium-quality,Cellulophaga baltica,virulent,GOV2
GCA_014844435.1@14_8,Flavobacterium columnare,Station188_DCM_ALL_assembly_NODE_2728_length_22965_cov_7.986469,96.552,29,1,0,22930,22958,22965,0.000281,50.1,29.97605051164816,Caudovirales,Low-quality,Clostridioides difficile,virulent,GOV2
GCA_014844435.1@14_8,Flavobacterium columnare,Station194_SUR_ALL_assembly_NODE_5263_length_10389_cov_61.048771,96.552,29,1,0,9760,9788,10389,0.000281,50.1,34.30551544903263,Caudovirales,Low-quality,Bacteroides xylanisolvens,virulent,GOV2
GCA_014844435.1@14_10,Flavobacterium columnare,KM873719.2,100.0,30,0,0,44354,44383,47142,2.92e-07,60.0,30.198124814390564,Caudovirales,High-quality,Campylobacter coli,virulent,GENBANK
GCA_014844435.1@14_10,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,45056,45085,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_014844435.1@14_9,Flavobacterium columnare,NC_041845.1,100.0,30,0,0,37336,37365,46450,2.92e-07,60.0,29.82346609257266,Caudovirales,High-quality,Flavobacterium columnare,virulent,REFSEQ
GCA_021406735.1@14_1,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,43722,43751,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_018141765.1@6_4,Porphyromonas gingivalis,IMGVR_UViG_2858652038_000001|2858652038|2858652105|9513-66683,100.0,30,0,0,54902,54873,57171,2.92e-07,60.0,51.34596211365903,Caudoviricetes,High-quality,Porphyromonas gingivalis,temperate,IMG_VR
GCA_018141765.1@6_3,Porphyromonas gingivalis,MGV-GENOME-0211214,96.667,30,1,0,4445,4416,29957,7.11e-05,52.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_018141765.1@6_8,Porphyromonas gingivalis,MGV-GENOME-0211214,96.667,30,1,0,4445,4416,29957,7.11e-05,52.0,49.77801515505558,Caudovirales,Medium-quality,Bacteroides ovatus,virulent,MGV
GCA_019297815.1@14_4,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,93.333,30,2,0,28448,28477,38967,0.017,44.1,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_019297815.1@14_5,Riemerella anatipestifer,IMGVR_UViG_2834949002_000004|2834949002|2834949002|1763995-1802961,100.0,30,0,0,8243,8214,38967,2.92e-07,60.0,34.22896296866579,Caudoviricetes,High-quality,Riemerella anatipestifer,temperate,IMG_VR
GCA_014844295.1@14_8,Flavobacterium columnare,Station191_SUR_ALL_assembly_NODE_18_length_111890_cov_446.688988,96.552,29,1,0,79274,79302,111890,0.000281,50.1,33.848422557869334,Caudovirales,Medium-quality,Cellulophaga baltica,virulent,GOV2
GCA_014844295.1@14_8,Flavobacterium columnare,Station188_DCM_ALL_assembly_NODE_2728_length_22965_cov_7.986469,96.552,29,1,0,22930,22958,22965,0.000281,50.1,29.97605051164816,Caudovirales,Low-quality,Clostridioides difficile,virulent,GOV2
GCA_014844295.1@14_8,Flavobacterium columnare,Station194_SUR_ALL_assembly_NODE_5263_length_10389_cov_61.048771,96.552,29,1,0,9760,9788,10389,0.000281,50.1,34.30551544903263,Caudovirales,Low-quality,Bacteroides xylanisolvens,virulent,GOV2
