operon_id,biosample_id,species,spacers
GCA_900157245.1@6,SAMEA3505346,Porphyromonas gingivalis,6
GCA_900157255.1@5,SAMEA3505348,Porphyromonas gingivalis,3
GCA_900157265.1@15,SAMEA3505349,Porphyromonas gingivalis,6
GCA_900157275.1@5,SAMEA3505347,Porphyromonas gingivalis,6
GCA_900157285.1@21,SAMEA3505345,Porphyromonas gingivalis,6
GCA_900157295.1@15,SAMEA3505344,Porphyromonas gingivalis,7
GCA_900157295.1@5,SAMEA3505344,Porphyromonas gingivalis,8
GCA_900157325.1@23,SAMEA3505342,Porphyromonas gingivalis,8
GCA_900157325.1@29,SAMEA3505342,Porphyromonas gingivalis,8
GCA_009496935.1@14,SAMN13111529,Riemerella anatipestifer,13
GCA_009663465.1@3,SAMN09912225,Riemerella anatipestifer,7
GCA_009663485.1@1,SAMN09912224,Riemerella anatipestifer,7
GCA_009663555.1@4,SAMN09912221,Riemerella anatipestifer,14
GCA_009663565.1@4,SAMN09912222,Riemerella anatipestifer,10
GCA_009663585.1@1,SAMN09912220,Riemerella anatipestifer,8
GCA_009663595.1@14,SAMN09912218,Riemerella anatipestifer,14
GCA_009670965.2@13,SAMN09907748,Riemerella anatipestifer,14
GCA_009690655.1@4,SAMN09908889,Riemerella anatipestifer,23
GCA_009690705.1@1,SAMN09908890,Riemerella anatipestifer,22
GCA_009690745.1@4,SAMN09908886,Riemerella anatipestifer,11
GCA_009735555.1@13,SAMN13426603,Labilibaculum euxinus,14
GCA_009795715.1@5,SAMN13567767,Labilibaculum euxinus,6
GCA_009800945.1@11,SAMN12287989,Riemerella anatipestifer,13
GCA_009832605.1@6,SAMN13698508,Flavobacteriaceae bacterium W22,2
GCA_003996985.1@12,SAMN09259085,Ancylomarina longa,4
GCA_004010225.2@18,SAMN10531269,Flavobacterium columnare,11
GCA_004014855.1@6,SAMN10691118,Apibacter raozihei,3
GCA_004151245.1@6,SAMN03142397,Flavobacterium beibuense,5
GCA_004214925.1@5,SAMN10882880,Porphyromonas gingivalis,3
GCA_004214945.1@14,SAMN10882879,Porphyromonas gingivalis,9
GCA_004214945.1@5,SAMN10882879,Porphyromonas gingivalis,13
GCA_004303025.1@16,SAMN08176487,Flavobacterium sp. J27,14
GCA_004337635.1@5,SAMN11047481,Myroides odoratimimus,16
GCA_004364575.1@4,SAMN08778583,Myroides indicus,13
GCA_004684835.2@13,SAMN11292555,Flavobacterium columnare,11
GCA_004792655.1@14,SAMN10878314,Bacteroidales bacterium,12
GCA_002892555.1@5,SAMN07315161,Porphyromonas gingivalis,3
GCA_002892575.1@14,SAMN07315160,Porphyromonas gingivalis ATCC 33277,4
GCA_002892575.1@5,SAMN07315160,Porphyromonas gingivalis ATCC 33277,12
GCA_002892595.1@14,SAMN07315163,Porphyromonas gingivalis,7
GCA_002892595.1@5,SAMN07315163,Porphyromonas gingivalis,7
GCA_002896355.1@13,SAMN05831615,Riemerella anatipestifer,11
GCA_002899825.2@8,SAMN08324226,Chryseobacterium phosphatilyticum,7
GCA_002916795.1@3,SAMN06216355,Flavobacterium columnare,12
GCA_002916835.1@7,SAMN06216424,Flavobacterium columnare,3
GCA_002951025.1@19,SAMN04197430,Flavobacterium columnare,16
GCA_003024905.1@14,SAMN08213267,Riemerella anatipestifer,15
GCA_003034215.1@8,SAMN08628177,Flavobacterium columnare,27
GCA_003182155.1@4,SAMN08775407,Chitinophaga sp. S165,8
GCA_003265025.1@13,SAMN07955960,Prevotella intermedia,20
GCA_003269195.1@22,SAMN05444284,Prevotella pallens,13
GCA_002355195.1@17,SAMD00017481,Prevotella intermedia,7
GCA_002356295.1@33,SAMD00078003,Labilibaculum antarcticum,12
GCA_002529125.1@14,SAMN07602662,Porphyromonas gingivalis,15
GCA_002529145.1@12,SAMN07602660,Porphyromonas gingivalis,13
GCA_002529145.1@19,SAMN07602660,Porphyromonas gingivalis,6
GCA_002529155.1@16,SAMN07602655,Porphyromonas gingivalis,5
GCA_002529155.1@5,SAMN07602655,Porphyromonas gingivalis,7
GCA_002529185.1@5,SAMN07602652,Porphyromonas gingivalis,6
GCA_002529205.1@16,SAMN07602661,Porphyromonas gingivalis,12
GCA_002529205.1@6,SAMN07602661,Porphyromonas gingivalis,7
GCA_002529215.1@10,SAMN07602653,Porphyromonas gingivalis,20
GCA_002529225.1@1,SAMN07602649,Prevotella intermedia,14
GCA_002529235.1@6,SAMN07602658,Porphyromonas gingivalis,8
GCA_002529285.1@5,SAMN07602656,Porphyromonas gingivalis,14
GCA_002529305.1@1,SAMN07602648,Prevotella intermedia,8
GCA_002529345.1@16,SAMN07602657,Porphyromonas gingivalis,2
GCA_002529345.1@6,SAMN07602657,Porphyromonas gingivalis,7
GCA_002529355.1@10,SAMN07602654,Porphyromonas gingivalis,2
GCA_002529365.1@18,SAMN07602659,Porphyromonas gingivalis,9
GCA_002529365.1@6,SAMN07602659,Porphyromonas gingivalis,3
GCA_002529375.1@15,SAMN07602651,Porphyromonas gingivalis,9
GCA_002529375.1@6,SAMN07602651,Porphyromonas gingivalis,10
GCA_002529425.1@5,SAMN07602650,Porphyromonas gingivalis,3
GCA_002529435.1@2,SAMN07602647,Prevotella intermedia,13
GCA_002530675.1@5,SAMN06049064,Flavobacterium columnare NBRC 100251 = ATCC 23463,13
GCA_002530755.1@7,SAMN06049062,Flavobacterium branchiophilum,10
GCA_002742335.1@13,SAMN05567583,Reichenbachiella sp. 5M10,10
GCA_002753835.1@14,SAMN07945748,Prevotella intermedia,22
GCA_002753855.1@14,SAMN07945742,Prevotella intermedia,7
GCA_002753935.1@7,SAMN07840095,Porphyromonas gingivalis,12
GCA_002753955.1@6,SAMN07836928,Porphyromonas gingivalis,8
GCA_002753975.1@13,SAMN07840081,Porphyromonas gingivalis,5
GCA_002754015.1@34,SAMN07840090,Porphyromonas gingivalis,6
GCA_002754015.1@6,SAMN07840090,Porphyromonas gingivalis,5
GCA_002754035.1@16,SAMN07840091,Porphyromonas gingivalis,6
GCA_002754055.1@6,SAMN07840092,Porphyromonas gingivalis,5
GCA_002754075.1@6,SAMN07840094,Porphyromonas gingivalis,3
GCA_002754095.1@15,SAMN07840097,Porphyromonas gingivalis,9
GCA_002754095.1@5,SAMN07840097,Porphyromonas gingivalis,8
GCA_002754115.1@5,SAMN07831761,Porphyromonas gingivalis,7
GCA_002754135.1@16,SAMN07836904,Porphyromonas gingivalis,15
GCA_002754155.1@26,SAMN07836934,Porphyromonas gingivalis,6
GCA_002762425.1@15,SAMN07980961,Prevotella intermedia,8
GCA_002763535.1@5,SAMN07955957,Prevotella intermedia,12
GCA_002763575.1@12,SAMN07956007,Prevotella intermedia,12
GCA_002763715.1@13,SAMN07955952,Prevotella intermedia,6
GCA_002763745.1@12,SAMN07956008,Prevotella intermedia,18
GCA_002763785.1@14,SAMN07956010,Prevotella intermedia,20
GCA_002763845.1@3,SAMN07955950,Prevotella intermedia,12
GCA_002763955.1@13,SAMN07980911,Prevotella intermedia,3
GCA_002763975.1@3,SAMN07980959,Prevotella intermedia,12
GCA_002794335.1@15,SAMN07980927,Prevotella intermedia,13
GCA_002797135.1@14,SAMN07955951,Prevotella intermedia,9
GCA_002797155.1@16,SAMN07955958,Prevotella intermedia,7
GCA_002797175.1@15,SAMN07955964,Prevotella intermedia,6
GCA_002797185.1@13,SAMN07955963,Prevotella intermedia,14
GCA_006491595.2@4,SAMN11998959,Flavobacterium jejuense,15
GCA_007990835.1@8,SAMD00169721,Flavobacterium columnare NBRC 100251 = ATCC 23463,13
GCA_003585975.1@15,SAMN07549752,Capnocytophaga canis,46
GCA_003614945.1@5,SAMN10035131,Bergeyella cardium,18
GCA_003838285.1@10,SAMN09939779,Prevotella intermedia,10
GCA_003861325.1@10,SAMN09939780,Prevotella intermedia,10
GCA_003862255.1@15,SAMN09403941,Porphyromonas gingivalis,14
GCA_003863375.2@13,SAMN09721042,Labilibaculum euxinus,14
GCA_022817835.1@1,SAMN26856626,Flavobacterium covae,15
GCA_022817855.1@1,SAMN26856627,Flavobacterium covae,6
GCA_023092945.2@6,SAMN27739174,Elizabethkingia anophelis,8
GCA_023148185.1@27,SAMN19899804,Prevotella intermedia,22
GCA_019802725.1@14,SAMN18395778,Riemerella anatipestifer,13
GCA_019802785.1@14,SAMN18395782,Riemerella anatipestifer,11
GCA_019856515.1@24,SAMN20865098,Prolixibacteraceae bacterium,9
GCA_020149935.1@6,SAMN21419738,Marinilongibacter aquaticus,5
GCA_020281125.1@5,SAMN16178470,Myroides odoratimimus,20
GCA_020281165.1@16,SAMN16178469,Myroides odoratimimus,39
GCA_020281185.1@5,SAMN16178468,Myroides odoratimimus,20
GCA_020281315.1@10,SAMN16178466,Empedobacter stercoris,46
GCA_020733145.1@7,SAMN22359573,Chryseobacterium sp. X308,4
GCA_018474405.1@3,SAMN17102024,Riemerella anatipestifer,14
GCA_019297815.1@14,SAMN19113859,Riemerella anatipestifer RA-YM,9
GCA_019391755.1@12,SAMN19926200,Prevotella buccae,8
GCA_023822425.1@15,SAMN25704869,Porphyromonas gingivalis,7
GCA_023822425.1@5,SAMN25704869,Porphyromonas gingivalis,7
GCA_023822445.1@15,SAMN25704870,Porphyromonas gingivalis,7
GCA_023822445.1@5,SAMN25704870,Porphyromonas gingivalis,7
GCA_023822465.1@16,SAMN25704871,Porphyromonas gingivalis,7
GCA_023822465.1@5,SAMN25704871,Porphyromonas gingivalis,5
GCA_024124965.1@11,SAMN29361608,Riemerella anatipestifer,24
GCA_021406605.1@13,SAMN17134864,Porphyromonas gingivalis,5
GCA_021406625.1@13,SAMN17134862,Porphyromonas gingivalis,7
GCA_021406625.1@5,SAMN17134862,Porphyromonas gingivalis,13
GCA_021406645.1@17,SAMN17134861,Porphyromonas gingivalis,8
GCA_021406655.1@15,SAMN17134863,Porphyromonas gingivalis,5
GCA_021406655.1@6,SAMN17134863,Porphyromonas gingivalis,6
GCA_021406685.1@14,SAMN17134859,Porphyromonas gingivalis,3
GCA_021406685.1@8,SAMN17134859,Porphyromonas gingivalis,10
GCA_021406705.1@14,SAMN17134858,Porphyromonas gingivalis,2
GCA_021406725.1@13,SAMN17134856,Porphyromonas gingivalis,5
GCA_021406725.1@5,SAMN17134856,Porphyromonas gingivalis,4
GCA_021406735.1@14,SAMN17134857,Porphyromonas gingivalis,2
GCA_021406735.1@15,SAMN17134857,Porphyromonas gingivalis,12
GCA_021406745.1@18,SAMN17134860,Porphyromonas gingivalis,5
GCA_021406745.1@6,SAMN17134860,Porphyromonas gingivalis,5
GCA_021406785.1@5,SAMN17134854,Porphyromonas gingivalis,2
GCA_021406795.1@2,SAMN17134855,Porphyromonas gingivalis,7
GCA_021406795.1@9,SAMN17134855,Porphyromonas gingivalis,4
GCA_021406845.1@6,SAMN17134853,Porphyromonas gingivalis,7
GCA_021650975.2@19,SAMN25131779,Flavobacterium jumunjinense,3
GCA_021729145.1@3,SAMN24046351,Membranihabitans sp. C281,11
GCA_022024095.1@14,SAMN25263445,Prevotella sp. E2-25,17
GCA_022180405.1@17,SAMD00436399,Capnocytophaga canimorsus,38
GCA_022180425.1@4,SAMD00436400,Capnocytophaga cynodegmi,16
GCA_017614925.1@13,SAMN12287986,Riemerella anatipestifer,4
GCA_018141745.1@17,SAMN18805464,Porphyromonas gingivalis,10
GCA_018141745.1@6,SAMN18805464,Porphyromonas gingivalis,8
GCA_018141765.1@17,SAMN18805165,Porphyromonas gingivalis,10
GCA_018141765.1@6,SAMN18805165,Porphyromonas gingivalis,8
GCA_018141805.1@6,SAMN18753385,Porphyromonas gingivalis,3
GCA_018332575.1@6,SAMD00283672,Capnocytophaga cynodegmi,7
GCA_018332615.1@1,SAMD00283674,Capnocytophaga canimorsus,32
GCA_013276255.1@9,SAMN13152861,Capnocytophaga canis,10
GCA_013389455.1@19,SAMN15364525,Flavobacterium inviolabile,9
GCA_014192515.1@25,SAMN12024067,Microbacter margulisiae,16
GCA_014196225.1@1,SAMN13172994,Bacteroides pyogenes,19
GCA_014197445.1@4,SAMN13172995,Mesonia hippocampi,7
GCA_014207135.1@3,SAMN14505767,Pedobacter cryoconitis,18
GCA_014220755.1@22,SAMN15746369,Chryseobacterium lactis,15
GCA_014220895.1@22,SAMN15746370,Chryseobacterium lactis,16
GCA_014349155.1@5,SAMN15903477,Neolewinella lacunae,11
GCA_009902355.1@1,SAMN10537406,Riemerella anatipestifer,13
GCA_010501105.1@5,SAMN09839569,Dysgonomonas sp. 511,12
GCA_010993655.1@1,SAMN13269117,Flavobacterium columnare,2
GCA_011316545.1@7,SAMN13262726,Flavobacterium columnare,13
GCA_011316565.1@12,SAMN13268023,Flavobacterium columnare,13
GCA_011316575.1@9,SAMN13268084,Flavobacterium columnare,13
GCA_011316625.1@1,SAMN13268086,Flavobacterium columnare,2
GCA_011316665.1@9,SAMN13268085,Flavobacterium columnare,13
GCA_011316685.1@5,SAMN13269098,Flavobacterium columnare,2
GCA_016728765.1@6,SAMN16357273,Chryseobacterium sp. FDAARGOS 1104,7
GCA_016756935.1@5,SAMN17207827,Chryseobacterium sp. KMC2,9
GCA_016863695.1@20,SAMD00276601,Capnocytophaga stomatis,27
GCA_016863715.1@13,SAMD00276600,Capnocytophaga stomatis,29
GCA_017132675.1@14,SAMN18024368,Flavobacterium columnare,18
GCA_014844255.1@14,SAMN13705423,Flavobacterium columnare,16
GCA_014844295.1@14,SAMN15043856,Flavobacterium columnare,16
GCA_014844315.1@14,SAMN15043855,Flavobacterium columnare,16
GCA_014844335.1@14,SAMN15043854,Flavobacterium columnare,16
GCA_014844355.1@14,SAMN15043853,Flavobacterium columnare,16
GCA_014844375.1@14,SAMN15043852,Flavobacterium columnare,16
GCA_014844395.1@14,SAMN15043851,Flavobacterium columnare,16
GCA_014844415.1@14,SAMN15043850,Flavobacterium columnare,16
GCA_014844435.1@14,SAMN15043849,Flavobacterium columnare,16
GCA_014844455.1@14,SAMN15043848,Flavobacterium columnare,16
GCA_014844475.1@14,SAMN15043845,Flavobacterium columnare,16
GCA_014844495.1@14,SAMN15043847,Flavobacterium columnare,16
GCA_014844515.1@14,SAMN15043846,Flavobacterium columnare,16
GCA_014844535.1@14,SAMN15043844,Flavobacterium columnare,16
GCA_014844555.1@18,SAMN15043843,Flavobacterium columnare,16
GCA_014844575.1@18,SAMN15043842,Flavobacterium columnare,16
GCA_014844595.1@18,SAMN15043841,Flavobacterium columnare,16
GCA_014844615.1@18,SAMN15043840,Flavobacterium columnare,16
GCA_014844635.1@18,SAMN15043839,Flavobacterium columnare,16
GCA_014844655.1@18,SAMN15043838,Flavobacterium columnare,16
GCA_014844675.1@18,SAMN15043837,Flavobacterium columnare,16
GCA_014844695.1@18,SAMN15043836,Flavobacterium columnare,16
GCA_014844715.1@18,SAMN15043835,Flavobacterium columnare,16
GCA_014844735.1@18,SAMN15043834,Flavobacterium columnare,16
GCA_014844755.1@18,SAMN15043833,Flavobacterium columnare,16
GCA_014844775.1@18,SAMN15043832,Flavobacterium columnare,16
GCA_015210005.1@6,SAMN08474093,Sphingobacterium hungaricum,20
GCA_015291805.1@4,SAMN09907746,Riemerella anatipestifer,11
GCA_015499935.1@7,SAMN08384432,Flavobacterium columnare,7
GCA_015499955.1@17,SAMN08384431,Flavobacterium columnare,11
GCA_001953955.1@16,SAMN04529094,Prevotella intermedia ATCC 25611 = DSM 20706,12
GCA_001995115.1@8,SAMN06277069,Flavobacterium columnare,13
GCA_002204845.1@8,SAMN06216423,Flavobacterium covae,6
GCA_002204895.1@6,SAMN06216427,Flavobacterium oreochromis,13
GCA_002206065.1@7,SAMN07255460,Porphyromonas gingivalis SJD5,4
GCA_002206105.1@10,SAMN07255459,Porphyromonas gingivalis SJD11,7
GCA_002208045.1@7,SAMN07255458,Porphyromonas gingivalis SJD12,5
GCA_002217245.1@9,SAMN06049043,Flavobacterium columnare NBRC 100251 = ATCC 23463,3
GCA_002251285.1@1,SAMN07431217,Prevotella sp. P5-64,7
GCA_002302475.1@4,SAMN06754876,Capnocytophaga cynodegmi,8
GCA_002302635.1@5,SAMN06289146,Capnocytophaga stomatis,43
GCA_001444325.1@6,SAMN03653671,Porphyromonas gingivalis A7A1-28,6
GCA_001481655.1@13,SAMN04270979,Myroides odoratimimus,10
GCA_001534645.1@16,SAMN04386100,Flavobacterium covae,6
GCA_001553795.1@11,SAMN04309157,Porphyromonas gingivalis,12
GCA_001553795.1@5,SAMN04309157,Porphyromonas gingivalis,5
GCA_001580475.1@18,SAMN03382583,Flavobacterium columnare,16
GCA_001589345.2@15,SAMN04394634,Riemerella anatipestifer,12
GCA_001594285.1@13,SAMN03494306,Prevotella intermedia,27
GCA_001641185.1@14,SAMN04487986,Flavobacterium covae,4
GCA_000240075.2@18,SAMN02603612,Flavobacterium columnare ATCC 49512,9
GCA_000242075.2@5,SAMN02463909,Myroides odoratimimus CCUG 10230,10
GCA_000252855.1@14,SAMN02602991,Riemerella anatipestifer ATCC 11845 = DSM 15868,13
GCA_000270225.1@31,SAMD00060990,Porphyromonas gingivalis TDC60,3
GCA_000271945.1@13,SAMN00792205,Porphyromonas gingivalis W50,5
GCA_000271945.1@5,SAMN00792205,Porphyromonas gingivalis W50,7
GCA_000287635.1@14,SAMN00828778,Prevotella sp. MSX73,13
GCA_000301075.1@16,SAMN02463902,Bergeyella zoohelcum ATCC 43767,10
GCA_000318195.2@4,SAMN02436685,Prevotella saccharolytica F0055,10
GCA_000321285.1@13,SAMN02470051,Riemerella anatipestifer RA-SG,13
GCA_000331695.1@14,SAMN02602992,Riemerella anatipestifer RA-CH-2,12
GCA_000378065.1@5,SAMN02441674,Porphyromonas gulae DSM 15663,9
GCA_000380305.1@5,SAMN02436407,Porphyromonas gingivalis JCVI SC001,5
GCA_000439065.1@5,SAMN02440707,Prevotella intermedia ATCC 25611 = DSM 20706,4
GCA_000467795.1@13,SAMN02436723,Porphyromonas gingivalis F0568,9
GCA_000467795.1@7,SAMN02436723,Porphyromonas gingivalis F0568,5
GCA_000467815.1@14,SAMN02436724,Porphyromonas gingivalis F0569,8
GCA_000467835.1@11,SAMN02436747,Porphyromonas gingivalis F0570,8
GCA_000467835.1@3,SAMN02436747,Porphyromonas gingivalis F0570,3
GCA_000467955.1@11,SAMN02436815,Porphyromonas gingivalis F0185,14
GCA_000467955.1@5,SAMN02436815,Porphyromonas gingivalis F0185,6
GCA_000467975.1@6,SAMN02436881,Porphyromonas gingivalis F0566,8
GCA_000467995.1@17,SAMN02436749,Porphyromonas gingivalis W4087,11
GCA_000467995.1@7,SAMN02436749,Porphyromonas gingivalis W4087,6
GCA_000468135.1@15,SAMN02436482,Prevotella pleuritidis F0068,6
GCA_000503975.1@21,SAMN02470968,Porphyromonas gingivalis SJD2,4
GCA_000519165.1@13,SAMN02584920,Prevotella intermedia ATCC 25611 = DSM 20706,12
GCA_000613725.1@16,SAMD00012129,Prevotella pleuritidis JCM 14110,9
GCA_000614025.1@9,SAMD00012187,Prevotella aurantiaca JCM 15754,5
GCA_000614205.1@17,SAMD00006087,Prevotella saccharolytica JCM 17484,5
GCA_000619825.1@4,SAMN02769640,Prevotella sp. MA2016,7
GCA_000739415.1@20,SAMN02732406,Porphyromonas gingivalis,10
GCA_000739415.1@30,SAMN02732406,Porphyromonas gingivalis,5
GCA_000759025.1@7,SAMN02929976,Phaeodactylibacter xiamenensis,19
GCA_000765945.1@32,SAMN03004272,Porphyromonas gulae,11
GCA_000765965.1@27,SAMN03004273,Porphyromonas sp. COT-052 OH4946,14
GCA_000768765.1@16,SAMN03002870,Porphyromonas gulae,2
GCA_000768775.1@4,SAMN03002872,Porphyromonas gulae,9
GCA_000768785.1@7,SAMN03002869,Porphyromonas gulae,9
GCA_000768835.1@7,SAMN03002874,Porphyromonas gulae,20
GCA_000768915.1@20,SAMN03002889,Porphyromonas gulae,10
GCA_000769015.1@6,SAMN03004334,Porphyromonas gulae,11
GCA_000769095.1@18,SAMN03004269,Porphyromonas gulae,9
GCA_000769475.1@5,SAMN03002873,Porphyromonas gulae,16
GCA_000798815.1@4,SAMN03021524,Alistipes sp. ZOR0009,7
GCA_000827615.1@5,SAMEA3180123,Capnocytophaga cynodegmi,10
GCA_000833975.1@4,SAMN03284263,Prevotella pectinovora,11
GCA_000834035.1@4,SAMN03284262,Prevotella pectinovora,10
GCA_000220625.1@8,SAMN02603043,Capnocytophaga canimorsus Cc5,61
GCA_000220255.1@19,SAMN00262640,Prevotella pallens ATCC 700821,10
GCA_000191565.1@4,SAMN02603017,Riemerella anatipestifer RA-GD,14
GCA_000184945.1@5,SAMN00216833,Prevotella buccae ATCC 33574,16
GCA_000183155.1@14,SAMN00138930,Riemerella anatipestifer ATCC 11845 = DSM 15868,13
GCA_000162455.1@2,SAMN02463748,Prevotella buccae D17,9
GCA_000007585.1@16,SAMN02603720,Porphyromonas gingivalis W83,7
GCA_000007585.1@5,SAMN02603720,Porphyromonas gingivalis W83,7
GCA_000010505.1@15,SAMD00060922,Porphyromonas gingivalis ATCC 33277,4
GCA_000010505.1@5,SAMD00060922,Porphyromonas gingivalis ATCC 33277,12
GCA_000153485.2@12,SAMN02603919,Psychroflexus torquis ATCC 700755,17
GCA_000955645.1@5,SAMN02212661,Prevotella intermedia ZT,7
GCA_000971515.1@15,SAMN03002871,Porphyromonas gulae,4
GCA_001051115.1@15,SAMN02704887,Riemerella anatipestifer,12
GCA_001077795.1@14,SAMN03768359,Riemerella anatipestifer Yb2,7
GCA_001263815.1@15,SAMN03366764,Porphyromonas gingivalis,7
GCA_001263815.1@4,SAMN03366764,Porphyromonas gingivalis,5
GCA_001274615.1@16,SAMN03372093,Porphyromonas gingivalis AJW4,11
GCA_001297745.1@15,SAMD00040429,Porphyromonas gingivalis,15
GCA_001314265.1@14,SAMN03656156,Porphyromonas gingivalis 381,4
GCA_001314265.1@5,SAMN03656156,Porphyromonas gingivalis 381,10
GCA_001670605.1@14,SAMN04431678,Riemerella anatipestifer,12
GCA_001670615.1@3,SAMN04432141,Riemerella anatipestifer,12
GCA_001670625.1@12,SAMN04427039,Riemerella anatipestifer,11
GCA_001670685.1@14,SAMN04419310,Riemerella anatipestifer,12
GCA_001670695.1@14,SAMN04419275,Riemerella anatipestifer,10
GCA_001670725.1@13,SAMN04395209,Riemerella anatipestifer,13
GCA_001670785.1@13,SAMN04419312,Riemerella anatipestifer,12
GCA_001670805.1@14,SAMN04419309,Riemerella anatipestifer,12
GCA_001670855.1@13,SAMN04419308,Riemerella anatipestifer,12
GCA_001670875.1@4,SAMN04419303,Riemerella anatipestifer,10
GCA_001671145.1@3,SAMN04431887,Riemerella anatipestifer,5
GCA_001677395.1@8,SAMN05000968,Flavobacterium columnare,14
GCA_001865835.1@5,SAMN05933030,Myroides sp. ZB35,15
GCA_001936395.1@18,SAMN06184581,Flavobacterium columnare,14
