operon_id,type,subtype,length
GCA_942646125.2@1,II,II-A,6202
GCA_942646205.2@4,II,II-A,5452
GCA_942646265.2@5,II,II-A,5319
GCA_942646465.1@5,II,II-A,4851
GCA_942646475.1@6,Unknown,,1754
GCA_942646505.1@11,I,I-E,6254
GCA_942646515.1@1,II,II-A,6717
GCA_942646585.2@8,Unknown,,1269
GCA_942646785.1@6,Unknown,,1754
GCA_942647005.1@19,I,I-E,6558
GCA_942647055.1@5,I,I-C,10336
GCA_942647205.2@7,II,II-A,5606
GCA_942647275.1@8,II,II-A,7312
GCA_942647425.2@1,II,II-A,7567
GCA_942647455.2@7,I,I-C,12557
GCA_942647595.1@9,I,I-E,9426
GCA_942647675.2@1,II,II-A,5858
GCA_942647805.1@7,I,I-E,7783
GCA_942647875.1@4,I,I-E,11420
GCA_942648275.1@13,I,I-E,11420
GCA_942648345.1@7,Unknown,,4022
GCA_942648835.2@1,II,II-A,5412
GCA_942648885.2@6,I,I-E,7615
GCA_942648955.1@6,Unknown,,1754
GCA_943169635.1@25,I,I-C,19963
GCA_943169635.1@7,I,I-C,19963
GCA_943169685.1@15,II,II-A,6241
GCA_943169685.1@7,I,I-C,10255
GCA_943169845.1@4,I,I-C,16404
GCA_943192895.1@6,I,I-C,10680
GCA_943192955.1@9,II,II-A,6967
GCA_943192965.1@8,I,I-C,10841
GCA_943192975.1@2,I,I-C,11360
GCA_943192995.1@8,I,I-C,9024
GCA_943193015.1@1,II,II-A,1987
GCA_943193035.1@15,I,I-C,10013
GCA_943193035.1@61,I,I-C,6366
GCA_943193045.1@5,Unknown,,4447
GCA_943193095.1@14,I,I-E,12391
GCA_943193095.1@3,V,V-C,6615
GCA_943193115.1@5,I,I-C,10024
GCA_943193145.1@6,Unknown,,993
GCA_943193155.1@28,II,II-A,6310
GCA_943193155.1@6,I,I-C,10826
GCA_943193165.1@13,I,I-B,12286
GCA_943193165.1@7,Unknown,,2342
GCA_943193175.1@23,Unknown,,1165
GCA_943193215.1@21,II,II-A,6856
GCA_943193215.1@6,I,I-A,2343
GCA_943590815.1@14,I,I-E,16070
GCA_943737005.1@7,I,I-A,3230
GCA_943908105.1@17,I,I-B,16561
GCA_943908105.1@8,I,I-E,9761
GCA_943908125.1@8,I,I-E,9395
GCA_943908165.1@3,I,I-E,8049
GCA_943908175.1@8,I,I-E,9395
GCA_943908205.1@18,I,I-B,14893
GCA_943908205.1@8,I,I-E,9395
GCA_943908265.1@3,I,I-E,8049
GCA_943908285.1@12,I,I-E,9761
GCA_943908285.1@7,I,I-B,16096
GCA_943908305.1@13,I,I-E,8049
GCA_943908305.1@7,I,I-B,16098
GCA_944800085.1@68,III,III-B,9767
GCA_944800085.1@7,I,I-C,9888
GCA_945318265.1@23,III,III-B,9767
GCA_945318265.1@7,I,I-C,9888
GCA_945318275.1@7,I,I-C,11778
GCA_945318285.1@19,I,I-C,9888
GCA_945318285.1@63,III,III-B,9767
GCA_945605565.1@8,I,I-C,14910
GCA_945836005.1@14,I,I-F,9834
GCA_945859825.1@15,I,I-F,12909
GCA_945859825.1@23,I,I-F_T,5312
GCA_945859855.1@6,I,I-F,12176
GCA_945859885.1@6,I,I-F,10945
GCA_946047605.1@8,II,II-A,8360
GCA_946151045.1@4,II,II-A,8457
GCA_946189295.1@4,I,I-E,9307
GCA_946221705.1@32,I,I-G,9490
GCA_902804475.1@9,II,II-A,5603
GCA_902804485.1@2,Unknown,,2633
GCA_902806455.1@5,I,I-B,11710
GCA_902806695.1@10,I,I-C,9733
GCA_902806695.1@6,II,II-A,4605
GCA_902808445.2@6,II,II-A,5082
GCA_902808935.2@6,II,II-A,4826
GCA_902809045.2@6,II,II-A,5724
GCA_902809765.1@6,II,II-A,5019
GCA_902809825.1@3,I,I-B,14590
GCA_902809845.1@7,I,I-C,10097
GCA_902809935.1@1,I,I-C,8907
GCA_902809935.1@12,Unknown,,4541
GCA_902809985.1@26,I,I-A,10466
GCA_902809985.1@33,I,I-B,8924
GCA_902809985.1@35,I,I-B,20370
GCA_902809985.1@8,V,V-F,6476
GCA_902810075.1@29,I,I-C,21479
GCA_902810075.1@3,I,I-C,13679
GCA_902810435.1@7,II,II-A,6933
GCA_902810445.1@4,I,I-F,12021
GCA_902810705.1@2,III,III-B,7477
GCA_902810705.1@3,III,III-A,9458
GCA_902810745.1@10,I,I-C,5904
GCA_902810745.1@17,I,I-A,1807
GCA_902810745.1@7,I,I-A,1990
GCA_902810755.1@22,I,I-A,2533
GCA_902810755.1@38,Unknown,,7669
GCA_902810765.1@14,I,I-B,9884
GCA_902812345.1@1,I,I-B,9834
GCA_902812385.1@6,I,I-B,13930
GCA_902812435.1@1,I,I-B,12331
GCA_902812455.1@2,III,III-D,15065
GCA_902812655.1@1,V,V-F,1832
GCA_902812655.1@15,I,I-E,7619
GCA_902812655.1@21,Unknown,,2687
GCA_902812655.1@26,I,I-B,9577
GCA_902813185.1@3,I,I-E,19145
GCA_902813195.1@30,I,I-A,9529
GCA_902813195.1@43,I,I-A,8676
GCA_902825285.1@28,I,I-F,9678
GCA_902825375.1@46,I,I-E,34383
GCA_902825375.1@75,Unknown,,2295
GCA_902827205.1@45,I,I-B,16227
GCA_902827205.1@7,Unknown,,3949
GCA_902827225.1@23,Unknown,,8913
GCA_902827225.1@39,I,I-D,11357
GCA_902827225.1@50,Unknown,,4559
GCA_902829265.1@10,V,V-F1,7064
GCA_902829265.1@11,I,I-G,12059
GCA_902829265.1@3,III,III-D,27233
GCA_902829275.1@12,V,V-F1,7269
GCA_902829275.1@13,I,I-G,12057
GCA_902829275.1@3,III,III-D,27240
GCA_902830935.1@6,I,I-F,10778
GCA_902831015.1@4,I,I-F,13080
GCA_902831025.1@16,I,I-F,10388
GCA_902831175.1@7,I,I-F,10298
GCA_902831275.1@16,I,I-F,10897
GCA_902831415.1@4,I,I-F,10495
GCA_902831585.1@16,I,I-F,12281
GCA_902831595.1@7,I,I-F,11080
GCA_902832905.1@8,I,I-F,13032
GCA_902833455.1@17,I,I-F,12233
GCA_902833455.1@7,I,I-E,794
GCA_902833685.1@14,I,I-F_T,9857
GCA_902833925.1@4,I,I-E,10932
GCA_902858935.1@7,II,II-A,6807
GCA_902859585.1@6,Unknown,,2531
GCA_902859855.1@21,V,V-C,5182
GCA_902983995.1@20,I,I-C,18748
GCA_903064525.1@19,I,I-G,18252
GCA_903064525.1@25,V,V-B,8759
GCA_903064525.1@4,I,I-A,5092
GCA_903064715.1@15,I,I-E,3518
GCA_903064715.1@4,I,I-E,9972
GCA_014850955.1@15,I,I-E,3518
GCA_014850955.1@4,I,I-E,9972
GCA_903166105.2@19,II,II-A,8841
GCA_903166105.2@2,III,III-B,10474
GCA_903166105.2@8,I,I-F,11124
GCA_903166115.2@1,I,I-A,4252
GCA_903166115.2@2,I,I-F,4327
GCA_903166575.1@4,II,II-A,9702
GCA_903181455.1@6,I,I-C,9034
GCA_903231395.1@5,I,I-G,6526
GCA_903231505.1@1,I,I-G,6313
GCA_903642125.2@1,II,II-A,3472
GCA_903642205.1@1,I,I-G,10255
GCA_903642215.1@8,II,II-A,11205
GCA_903642235.1@12,I,I-C,9188
GCA_903642245.1@1,Unknown,,3709
GCA_903642245.1@6,I,I-C,6399
GCA_903642275.1@4,Unknown,,774
GCA_903643065.1@1,II,II-A,6325
GCA_903645305.1@23,I,I-E,13551
GCA_903645305.1@7,Unknown,,1593
GCA_903645315.1@13,I,I-C,9027
GCA_903645315.1@5,I,I-E,18616
GCA_903645345.1@9,I,I-E,9886
GCA_903645355.1@17,I,I-E,19957
GCA_903645355.1@3,III,III-D,20169
GCA_903684235.1@27,I,I-C,10408
GCA_903684345.1@23,I,I-C,10408
GCA_903684635.1@6,I,I-F,13798
GCA_903815225.1@17,I,I-F,13798
GCA_903797705.1@6,II,II-A,5152
GCA_903819165.1@2,I,I-E,11407
GCA_903819435.1@7,II,II-A,9487
GCA_903819445.1@2,I,I-A,2838
GCA_903884415.1@6,II,II-A,8177
GCA_903885985.1@19,II,II-A,7505
GCA_903885985.1@5,II,II-A,7511
GCA_903886075.1@20,II,II-A,7043
GCA_903886075.1@6,II,II-A,8237
GCA_903886205.1@6,II,II-A,7922
GCA_903886285.1@6,II,II-A,8564
GCA_903886345.1@20,II,II-A,7510
GCA_903886345.1@6,II,II-A,7505
GCA_903886475.1@21,III,III-A,9231
GCA_903886475.1@6,II,II-A,7531
GCA_903886505.1@21,III,III-A,10935
GCA_903886505.1@31,II,II-A,9222
GCA_903886505.1@7,II,II-A,6919
GCA_903886595.1@22,I,I-A,1686
GCA_903886595.1@38,II,II-A,7116
GCA_903886595.1@6,II,II-A,9485
GCA_903886645.1@25,I,I-A,2256
GCA_903886645.1@42,I,I-E,10236
GCA_903886645.1@53,II,II-A,11068
GCA_903886645.1@8,II,II-A,7114
GCA_903886745.1@24,II,II-A,6852
GCA_903886745.1@9,I,I-A,1686
GCA_903890635.1@23,I,I-A,1686
GCA_903890635.1@7,II,II-A,6852
GCA_903890695.1@24,I,I-A,2198
GCA_903890695.1@41,II,II-A,9749
GCA_903890695.1@8,II,II-A,7248
GCA_903890795.1@17,II,II-A,7245
GCA_903890795.1@30,II,II-A,7571
GCA_903890815.1@20,II,II-A,6322
GCA_903890815.1@6,II,II-A,7569
GCA_903890825.1@21,III,III-A,9045
GCA_903890825.1@6,II,II-A,6733
GCA_903890905.1@19,II,II-A,7779
GCA_903890905.1@33,II,II-A,8692
GCA_903890925.1@19,II,II-A,7779
GCA_903890925.1@33,II,II-A,8692
GCA_903890945.1@20,I,I-A,2916
GCA_903890945.1@34,I,I-E,10170
GCA_903890945.1@6,II,II-A,7514
GCA_903891015.1@19,II,II-A,8100
GCA_903891015.1@6,II,II-A,7904
GCA_903891025.1@20,II,II-A,7706
GCA_903891025.1@5,II,II-A,8301
GCA_903891105.1@6,II,II-A,9486
GCA_903891195.1@7,II,II-A,7991
GCA_903891245.1@19,II,II-A,7307
GCA_903891245.1@5,II,II-A,9625
GCA_903935895.1@7,I,I-E,10138
GCA_903936025.1@1,I,I-E,10138
GCA_903968575.1@4,I,I-F,11396
GCA_903969095.1@12,III,III-B,13379
GCA_903969095.1@6,I,I-D,12073
GCA_903970395.1@2,I,I-C,8673
GCA_903970565.1@1,I,I-E,6739
GCA_903970625.1@3,I,I-E,4866
GCA_903994055.1@8,II,II-A,7426
GCA_904061905.1@7,I,I-F,12409
GCA_904067545.1@18,I,I-A,5000
GCA_904067545.1@6,I,I-B,13018
GCA_904067555.1@19,I,I-F_T,5537
GCA_904067555.1@6,I,I-F,9510
GCA_904067585.1@6,II,II-A,8259
GCA_904067595.1@6,II,II-A,8259
GCA_904067605.1@19,I,I-F_T,5537
GCA_904067605.1@6,I,I-F,9510
GCA_904067615.1@18,I,I-F,9510
GCA_904067615.1@5,I,I-F_T,5589
GCA_904067635.1@6,I,I-F,9263
GCA_904067645.1@19,I,I-F_T,5537
GCA_904067645.1@6,I,I-F,9510
GCA_904423785.1@8,I,I-E,16027
GCA_904423835.1@7,Unknown,,1395
GCA_904423865.1@21,I,I-A,1197
GCA_904423865.1@31,I,I-E,11479
GCA_904424765.1@5,II,II-A,8560
GCA_904424815.1@5,II,II-A,6723
GCA_904425415.1@5,II,II-A,8712
GCA_904425455.1@11,I,I-F,18608
GCA_904426505.1@7,I,I-G,8399
GCA_904810325.1@44,III,III-A,10072
GCA_904810335.1@44,III,III-A,14232
GCA_904810345.1@44,III,III-A,11693
GCA_904810355.1@44,III,III-A,11693
GCA_904810365.1@54,III,III-A,11693
GCA_904820345.1@4,II,II-A,6134
GCA_904830765.1@15,Unknown,,3786
GCA_904830765.1@35,III,III-B,12384
GCA_904830765.1@7,I,I-D,13538
GCA_904830775.1@14,I,I-C,6150
GCA_904830775.1@24,I,I-D,13769
GCA_904830775.1@3,III,III-B,12582
GCA_904830785.1@37,III,III-B,14079
GCA_904830785.1@8,I,I-D,11948
GCA_904830845.1@13,I,I-D,13483
GCA_904830845.1@4,III,III-B,12182
GCA_904830855.1@15,I,I-C,6069
GCA_904830855.1@26,I,I-D,12485
GCA_904830855.1@4,III,III-B,13523
GCA_904830885.1@18,I,I-D,14201
GCA_904830885.1@4,III,III-B,12869
GCA_904830885.1@52,V,V-F,4919
GCA_904830895.1@27,I,I-D,12008
GCA_904830895.1@53,III,III-B,8336
GCA_904830895.1@55,I,I-A,3497
GCA_904830915.1@16,I,I-D,13206
GCA_904830915.1@6,III,III-B,14540
GCA_904830925.1@37,III,III-B,7421
GCA_904830925.1@4,I,I-D,13300
GCA_904830925.1@68,I,I-C,10838
GCA_904830935.1@16,III,III-B,18742
GCA_904830935.1@29,I,I-D,14309
GCA_904830945.1@14,I,I-D,13203
GCA_904830945.1@28,I,I-C,5394
GCA_904830945.1@49,III,III-B,13376
GCA_904830955.1@102,III,III-B,17991
GCA_904830955.1@114,I,I-A,5226
GCA_904830955.1@15,I,I-C,9212
GCA_904830955.1@35,V,V-F,5310
GCA_904830955.1@45,Unknown,,3378
GCA_904830955.1@69,III,III-B,8326
GCA_904830955.1@96,I,I-D,13635
GCA_904830985.1@7,Unknown,,2804
GCA_904831005.1@21,Unknown,,1538
GCA_904842695.1@7,II,II-A,5557
GCA_904845965.1@2,I,I-C,10995
GCA_904846015.1@5,I,I-F,9870
GCA_904846035.1@4,I,I-C,17116
GCA_904846055.1@4,I,I-F,13735
GCA_904846095.1@1,III,III-B,15654
GCA_904846095.1@2,I,I-A,7878
GCA_904846095.1@6,I,I-C,20329
GCA_904846115.1@4,I,I-F,13841
GCA_904846155.1@7,I,I-F,12019
GCA_904846205.1@6,I,I-C,12650
GCA_904846305.1@33,I,I-C,13068
GCA_904846305.1@40,III,III-B,9297
GCA_904846305.1@50,I,I-F,11150
GCA_904846315.1@13,I,I-E,15827
GCA_904846315.1@24,I,I-F,12807
GCA_904846315.1@6,III,III-B,13328
GCA_904846315.1@7,I,I-A,945
GCA_904846335.1@5,I,I-A,5769
GCA_904846335.1@6,III,III-D,20447
GCA_904846335.1@7,I,I-A,1247
GCA_904846365.1@4,I,I-F,13543
GCA_904846375.1@3,I,I-C,12548
GCA_904846395.1@7,I,I-C,10538
GCA_904846425.1@3,I,I-C,13878
GCA_904846435.1@7,I,I-F,13635
GCA_904846445.1@2,I,I-F,11811
GCA_904846475.1@7,I,I-C,17652
GCA_904846505.1@2,I,I-C,14356
GCA_904846535.1@1,Unknown,,5415
GCA_904846555.1@6,I,I-C,17256
GCA_904846575.1@5,I,I-F,14871
GCA_904846585.1@3,I,I-C,11952
GCA_904846585.1@4,I,I-F,15120
GCA_904846595.1@4,I,I-F,10222
GCA_904846635.1@10,III,III-B,18308
GCA_904846635.1@8,I,I-A,1173
GCA_904846635.1@9,III,III-B,2933
GCA_904846645.1@1,III,III-B,20202
GCA_904846645.1@2,III,III-B,4923
GCA_904846675.1@6,I,I-F,13980
GCA_904846685.1@5,I,I-F,12497
GCA_904846715.1@3,I,I-F,11208
GCA_904848165.1@18,III,III-B,13970
GCA_904848165.1@19,III,III-B,2622
GCA_904848165.1@4,I,I-C,16359
GCA_904848455.1@6,II,II-A,6633
GCA_904848545.2@16,I,I-E,12121
GCA_904848545.2@5,I,I-E,12121
GCA_904848685.1@7,II,II-A,5751
GCA_904863345.1@13,I,I-F,13300
GCA_904863345.1@16,I,I-E,3869
GCA_904865755.1@2,I,I-E,11110
GCA_904866365.1@6,I,I-E,13666
GCA_904866515.1@3,I,I-E,12508
GCA_905071805.1@7,I,I-E,9967
GCA_905109795.1@8,I,I-E,13109
GCA_905109855.1@3,I,I-E,13047
GCA_905111125.1@6,I,I-E,10946
GCA_905111135.1@10,I,I-E,10205
GCA_905111875.1@10,I,I-E,10205
GCA_905111885.1@10,I,I-E,10266
GCA_905112955.1@20,I,I-E,9654
GCA_905112955.1@3,I,I-C,9114
GCA_905112955.1@31,II,II-A,9908
GCA_905112965.1@10,I,I-E,10457
GCA_905112975.1@6,I,I-E,10457
GCA_905112985.1@10,I,I-E,10396
GCA_905112995.1@10,I,I-E,10457
GCA_905113005.1@3,I,I-E,13536
GCA_905113015.1@8,I,I-E,13352
GCA_905113025.1@8,I,I-E,13352
GCA_905113035.1@3,I,I-E,13047
GCA_905113055.1@1,I,I-C,9704
GCA_905113065.1@7,I,I-E,10266
GCA_905113075.1@7,I,I-E,10266
GCA_905115075.1@8,I,I-C,11113
GCA_905115085.1@7,I,I-C,9573
GCA_905115095.1@10,I,I-E,10266
GCA_905115105.1@10,I,I-E,10396
GCA_905115115.1@1,I,I-C,9573
GCA_905115125.1@7,I,I-E,10266
GCA_905115135.1@7,I,I-E,10205
GCA_905115145.1@10,I,I-E,10268
GCA_905115155.1@10,I,I-E,10335
GCA_905115165.1@10,I,I-E,10457
GCA_905115175.1@16,I,I-E,13657
GCA_905115195.1@10,I,I-E,10335
GCA_905115205.1@10,I,I-E,10144
GCA_905115225.1@7,I,I-E,10266
GCA_905116885.1@9,I,I-E,11119
GCA_902712915.1@9,I,I-E,11119
GCA_905120355.1@6,I,I-C,12766
GCA_905125195.1@10,I,I-E,10266
GCA_905125205.1@10,I,I-E,10030
GCA_905125215.1@3,I,I-E,13108
GCA_905125225.1@10,I,I-E,10266
GCA_905125235.1@6,I,I-E,10457
GCA_905125245.1@10,I,I-E,10266
GCA_905125255.1@10,I,I-E,10205
GCA_905125265.1@7,I,I-E,10266
GCA_905125275.1@10,I,I-E,10266
GCA_905125285.1@16,I,I-E,9654
GCA_905125285.1@3,I,I-C,9114
GCA_905125285.1@32,II,II-A,9908
GCA_905125295.1@10,I,I-E,10266
GCA_905125305.1@10,I,I-E,10266
GCA_905125325.1@11,I,I-E,9961
GCA_905125335.1@7,I,I-E,10266
GCA_905132865.1@3,I,I-A,16818
GCA_905132895.1@3,I,I-A,16818
GCA_905132935.1@3,I,I-A,16818
GCA_905183025.1@43,III,III-A,16098
GCA_905183045.1@29,I,I-E,12646
GCA_905183055.1@22,I,I-G,9490
GCA_905183065.2@16,I,I-E,15804
GCA_905183075.1@44,III,III-A,15006
GCA_905188235.1@5,I,I-F,8864
GCA_905219535.1@32,Unknown,,6919
GCA_905219535.1@79,Unknown,,14798
GCA_905220645.1@5,III,III-A,12564
GCA_905220655.1@8,I,I-B,18508
GCA_905220995.1@8,I,I-E,12564
GCA_905221005.1@7,II,II-A,8083
GCA_905221025.1@5,I,I-E,7742
GCA_905221025.1@9,I,I-C,8220
GCA_905221035.1@13,II,II-A,7813
GCA_905221035.1@3,III,III-A,11293
GCA_905221045.1@15,III,III-A,11293
GCA_905221045.1@4,II,II-A,7813
GCA_905221055.1@6,II,II-A,6824
GCA_905221065.1@6,II,II-A,6824
GCA_905221075.1@6,II,II-A,7154
GCA_905221095.1@6,II,II-A,7154
GCA_905221115.1@3,III,III-A,9778
GCA_905221235.1@4,II,II-A,6758
GCA_905221245.1@27,II,II-A,8225
GCA_905221265.1@4,III,III-A,10524
GCA_905221275.1@3,II,II-A,7361
GCA_905221295.1@5,II,II-A,7452
GCA_905221335.1@6,II,II-A,7698
GCA_905221355.1@14,II,II-A,7951
GCA_905221355.1@4,III,III-A,9937
GCA_905221365.1@4,III,III-A,10833
GCA_905221385.1@7,II,II-A,8097
GCA_905221435.1@1,II,II-A,7945
GCA_905221445.1@3,II,II-A,7702
GCA_905221505.1@7,II,II-A,8083
GCA_905221525.1@7,II,II-A,8083
GCA_905232415.2@6,I,I-F,12800
GCA_905232465.2@6,I,I-F,12800
GCA_905232475.2@11,I,I-F,9172
GCA_905232485.2@11,I,I-F,9172
GCA_905232495.2@11,I,I-F,9172
GCA_905233075.2@5,Unknown,,3591
GCA_905322525.2@4,I,I-F,13241
GCA_905329555.2@14,I,I-F,12640
GCA_905329555.2@17,I,I-E,3869
GCA_905329895.2@4,Unknown,,2680
GCA_905330285.2@5,I,I-F,9172
GCA_905330795.2@11,I,I-F,9172
GCA_905330855.2@3,I,I-E,11084
GCA_905332525.1@8,II,II-A,12247
GCA_905332535.1@6,II,II-A,12247
GCA_905333885.2@6,I,I-E,3867
GCA_905333945.2@6,I,I-F,9490
GCA_905335825.2@8,IV,IV-A3,7008
GCA_905337805.2@6,I,I-F,11605
GCA_905337845.2@4,I,I-F,11243
GCA_905338025.2@5,I,I-F,13364
GCA_905338025.2@8,I,I-E,4171
GCA_905338855.1@1,II,II-A,3631
GCA_905338855.1@7,I,I-G,8078
GCA_905339165.1@3,II,II-A,10264
GCA_905339205.1@10,I,I-E,12490
GCA_905339205.1@3,III,III-C,22736
GCA_905339255.1@1,I,I-E,10185
GCA_905339255.1@11,Unknown,,2572
GCA_905339275.1@8,II,II-A,5932
GCA_905339275.1@9,I,I-C,11516
GCA_905339285.1@7,II,II-A,5149
GCA_905339305.1@3,I,I-A,4581
GCA_905339325.1@4,III,III-D,10658
GCA_905404085.1@5,II,II-A,6201
GCA_906464875.1@5,II,II-A,6592
GCA_907163105.1@6,II,II-A,4376
GCA_907163125.1@5,II,II-A,8263
GCA_907163135.1@8,I,I-C,13857
GCA_907163145.1@8,I,I-E,14959
GCA_907163175.1@7,I,I-E,14959
GCA_907163245.1@7,I,I-E,14959
GCA_907165195.1@3,II,II-A,7557
GCA_907165215.1@15,I,I-C,12741
GCA_910573705.1@16,I,I-C,8035
GCA_910573735.1@8,I,I-E,13511
GCA_910573815.1@56,I,I-E,14043
GCA_910573815.1@7,I,I-G,12128
GCA_910573835.1@1,II,II-A,8047
GCA_910573845.1@7,II,II-A,7076
GCA_910573855.1@15,I,I-C,13085
GCA_910573855.1@4,Unknown,,5545
GCA_910573865.1@1,II,II-A,10067
GCA_910573905.1@4,II,II-A,9444
GCA_910573915.1@6,I,I-C,10570
GCA_910573915.1@8,II,II-A,6919
GCA_910573935.1@7,I,I-E,9951
GCA_910574015.1@2,II,II-A,8506
GCA_910574025.1@13,I,I-B,9432
GCA_910574025.1@26,I,I-E,10970
GCA_910574025.1@37,Unknown,,3887
GCA_910574065.1@5,II,II-A,7001
GCA_910574115.1@16,I,I-E,10322
GCA_910574115.1@28,I,I-B,9432
GCA_910574115.1@6,Unknown,,4009
GCA_910574135.1@69,I,I-B,18007
GCA_910574175.1@1,II,II-A,11568
GCA_910574185.1@6,III,III-D,14318
GCA_910574205.1@16,II,II-A,6119
GCA_910574205.1@5,V,V-A,6979
GCA_910574235.1@1,II,II-A,10067
GCA_910574255.1@5,I,I-C,10124
GCA_910574285.1@3,I,I-B,15167
GCA_910574295.1@4,I,I-C,17972
GCA_910574335.1@1,I,I-E,9224
GCA_910574335.1@13,Unknown,,3887
GCA_910574335.1@21,I,I-B,9432
GCA_910574375.1@6,II,II-A,10067
GCA_910574475.1@4,I,I-C,13198
GCA_910574525.1@8,II,II-A,6659
GCA_910574545.1@3,II,II-A,8506
GCA_910574585.1@5,II,II-A,7010
GCA_910574635.1@1,I,I-C,9199
GCA_910574685.1@1,II,II-A,8504
GCA_910574745.1@1,II,II-A,7206
GCA_910574765.1@11,II,II-A,8368
GCA_910574775.1@55,I,I-B,18007
GCA_910574785.1@5,II,II-A,7010
GCA_910574805.1@14,Unknown,,2143
GCA_910574805.1@3,III,III-A,12963
GCA_910574805.1@36,I,I-C,10663
GCA_910574805.1@43,III,III-A,7371
GCA_910574865.1@10,I,I-C,13208
GCA_910574865.1@22,I,I-C,10019
GCA_910574865.1@37,II,II-A,6590
GCA_910574865.1@6,Unknown,,7225
GCA_910574885.1@5,I,I-C,11973
GCA_910574945.1@69,I,I-B,18007
GCA_910574965.1@4,I,I-C,10418
GCA_910575005.1@18,I,I-E,12450
GCA_910575005.1@6,II,II-A,6957
GCA_910575015.1@8,I,I-C,9336
GCA_910575035.1@17,III,III-D,16696
GCA_910575055.1@3,III,III-A,9173
GCA_910575065.1@69,I,I-B,18007
GCA_910575115.1@1,II,II-A,7733
GCA_910575135.1@56,I,I-B,18007
GCA_910575175.1@5,I,I-C,11973
GCA_910575185.1@1,I,I-C,6568
GCA_910575195.1@7,II,II-A,6550
GCA_910575215.1@7,Unknown,,806
GCA_910575235.1@2,I,I-A,3557
GCA_910575245.1@2,I,I-B,10099
GCA_910575255.1@6,I,I-C,9445
GCA_910575275.1@7,I,I-C,8349
GCA_910575335.1@7,II,II-A,7607
GCA_910575365.1@5,I,I-C,10315
GCA_910575385.1@17,I,I-C,10469
GCA_910575385.1@7,I,I-C,9247
GCA_910575395.1@5,II,II-A,7010
GCA_910575405.1@18,II,II-A,6215
GCA_910575405.1@25,I,I-C,8392
GCA_910575405.1@7,I,I-B,10738
GCA_910575425.1@7,III,III-A,19876
GCA_910575435.1@16,II,II-A,6604
GCA_910575435.1@25,I,I-A,4010
GCA_910575435.1@6,III,III-A,11400
GCA_910575445.1@3,I,I-E,12359
GCA_910575475.1@15,II,II-A,3984
GCA_910575475.1@4,I,I-E,9963
GCA_910575495.1@5,II,II-A,5523
GCA_910575515.1@1,II,II-A,7738
GCA_910575525.1@20,II,II-A,5523
GCA_910575535.1@15,I,I-E,10322
GCA_910575535.1@26,Unknown,,3887
GCA_910575535.1@4,I,I-B,9432
GCA_910575585.1@4,I,I-C,9336
GCA_910575605.1@15,Unknown,,8161
GCA_910575605.1@4,I,I-B,11363
GCA_910575625.1@2,I,I-C,14031
GCA_910575655.1@4,Unknown,,5545
GCA_910575655.1@9,I,I-C,12954
GCA_910575665.1@1,II,II-A,6853
GCA_910575665.1@12,I,I-C,10502
GCA_910575685.1@10,I,I-C,8954
GCA_910575705.1@6,II,II-A,6745
GCA_910575735.1@7,I,I-B,13635
GCA_910575755.1@25,Unknown,,3268
GCA_910575755.1@4,I,I-G,7483
GCA_910575755.1@8,I,I-C,11287
GCA_910575775.1@9,I,I-B,8806
GCA_910575795.1@4,I,I-C,10315
